distance	signal	standard deviation	error (%)
0.0000	2.7363	0.0049	0.1800
1.0000	2.7357	0.0042	0.1524
2.0000	2.7328	0.0057	0.2096
3.0000	2.7374	0.0034	0.1255
4.0000	2.7340	0.0068	0.2489
5.0000	2.7376	0.0033	0.1197
6.0000	2.7364	0.0064	0.2348
7.0000	2.7364	0.0023	0.0848
8.0000	2.7378	0.0033	0.1214
9.0000	2.7340	0.0092	0.3354
10.0000	2.7372	0.0034	0.1241
11.0000	2.7371	0.0048	0.1768
12.0000	2.7375	0.0050	0.1818
13.0000	2.7345	0.0052	0.1904
14.0000	2.7350	0.0044	0.1618
15.0000	2.7336	0.0096	0.3500
16.0000	2.7353	0.0023	0.0853
17.0000	2.7343	0.0063	0.2290
18.0000	2.7362	0.0029	0.1054
19.0000	2.7334	0.0051	0.1853
20.0000	2.7363	0.0028	0.1022
21.0000	2.7389	0.0021	0.0779
22.0000	2.7354	0.0040	0.1459
23.0000	2.7354	0.0036	0.1326
24.0000	2.7383	0.0036	0.1303
25.0000	2.7362	0.0049	0.1790
26.0000	2.7361	0.0050	0.1810
27.0000	2.7336	0.0027	0.0986
28.0000	2.7356	0.0036	0.1328
29.0000	2.7358	0.0032	0.1170
30.0000	2.7355	0.0053	0.1925
31.0000	2.7356	0.0087	0.3187
32.0000	2.7333	0.0079	0.2873
33.0000	2.7357	0.0029	0.1051
34.0000	2.7363	0.0042	0.1532
35.0000	2.7359	0.0041	0.1484
36.0000	2.7379	0.0043	0.1555
37.0000	2.7352	0.0029	0.1055
38.0000	2.7356	0.0031	0.1133
39.0000	2.7336	0.0084	0.3082
40.0000	2.7358	0.0041	0.1496
41.0000	2.7368	0.0037	0.1357
42.0000	2.7365	0.0090	0.3289
43.0000	2.7355	0.0048	0.1770
44.0000	2.7373	0.0063	0.2319
45.0000	2.7368	0.0038	0.1380
46.0000	2.7342	0.0070	0.2561
47.0000	2.7354	0.0073	0.2678
48.0000	2.7370	0.0032	0.1171
49.0000	2.7336	0.0066	0.2411
50.0000	2.7379	0.0058	0.2111
51.0000	2.7354	0.0037	0.1347
52.0000	2.7366	0.0040	0.1460
53.0000	2.7344	0.0035	0.1273
54.0000	2.7369	0.0041	0.1488
55.0000	2.7364	0.0032	0.1183
56.0000	2.7385	0.0035	0.1262
57.0000	2.7371	0.0048	0.1757
58.0000	2.7315	0.0070	0.2573
59.0000	2.7381	0.0034	0.1253
60.0000	2.7381	0.0043	0.1559
61.0000	2.7376	0.0057	0.2066
62.0000	2.7382	0.0034	0.1240
63.0000	2.7369	0.0052	0.1889
64.0000	2.7373	0.0030	0.1106
65.0000	2.7361	0.0058	0.2127
66.0000	2.7339	0.0050	0.1832
67.0000	2.7345	0.0093	0.3408
68.0000	2.7345	0.0088	0.3206
69.0000	2.7370	0.0029	0.1056
70.0000	2.7381	0.0038	0.1370
71.0000	2.7344	0.0077	0.2807
72.0000	2.7381	0.0039	0.1423
73.0000	2.7380	0.0042	0.1528
74.0000	2.7363	0.0038	0.1394
75.0000	2.7368	0.0053	0.1953
76.0000	2.7341	0.0074	0.2724
77.0000	2.7374	0.0032	0.1162
78.0000	2.7347	0.0094	0.3424
79.0000	2.7367	0.0038	0.1404
80.0000	2.7330	0.0090	0.3308
81.0000	2.7374	0.0028	0.1005
82.0000	2.7388	0.0022	0.0803
83.0000	2.7370	0.0038	0.1373
84.0000	2.7364	0.0046	0.1671
85.0000	2.7366	0.0046	0.1671
86.0000	2.7357	0.0045	0.1638
87.0000	2.7374	0.0042	0.1516
88.0000	2.7381	0.0022	0.0813
89.0000	2.7376	0.0031	0.1122
90.0000	2.7388	0.0026	0.0950
91.0000	2.7385	0.0043	0.1583
92.0000	2.7359	0.0046	0.1688
93.0000	2.7360	0.0029	0.1078
94.0000	2.7340	0.0075	0.2760
95.0000	2.7352	0.0046	0.1683
96.0000	2.7361	0.0047	0.1727
97.0000	2.7343	0.0029	0.1077
98.0000	2.7357	0.0093	0.3400
99.0000	2.7337	0.0031	0.1138
