distance	signal	standard deviation	error (%)
0.0000	1.1305	0.0047	0.4196
1.0000	1.1288	0.0055	0.4880
2.0000	1.1300	0.0041	0.3634
3.0000	1.1286	0.0053	0.4713
4.0000	1.1308	0.0049	0.4354
5.0000	1.1292	0.0050	0.4457
6.0000	1.1299	0.0036	0.3219
7.0000	1.1291	0.0062	0.5510
8.0000	1.1328	0.0030	0.2649
9.0000	1.1297	0.0053	0.4698
10.0000	1.1295	0.0043	0.3789
11.0000	1.1303	0.0052	0.4579
12.0000	1.1304	0.0046	0.4044
13.0000	1.1300	0.0069	0.6112
14.0000	1.1306	0.0045	0.4002
15.0000	1.1283	0.0049	0.4362
16.0000	1.1319	0.0037	0.3280
17.0000	1.1304	0.0054	0.4740
18.0000	1.1292	0.0036	0.3220
19.0000	1.1276	0.0049	0.4325
20.0000	1.1294	0.0063	0.5543
21.0000	1.1298	0.0038	0.3333
22.0000	1.1318	0.0049	0.4296
23.0000	1.1327	0.0040	0.3520
24.0000	1.1286	0.0047	0.4130
25.0000	1.1299	0.0039	0.3435
26.0000	1.1314	0.0055	0.4831
27.0000	1.1284	0.0057	0.5047
28.0000	1.1299	0.0052	0.4568
29.0000	1.1305	0.0046	0.4108
30.0000	1.1299	0.0030	0.2631
31.0000	1.1292	0.0050	0.4417
32.0000	1.1314	0.0035	0.3073
33.0000	1.1308	0.0040	0.3553
34.0000	1.1301	0.0031	0.2768
35.0000	1.1300	0.0045	0.4012
36.0000	1.1283	0.0057	0.5063
37.0000	1.1286	0.0057	0.5012
38.0000	1.1294	0.0057	0.5075
39.0000	1.1306	0.0041	0.3646
40.0000	1.1311	0.0045	0.3958
41.0000	1.1307	0.0048	0.4243
42.0000	1.1279	0.0053	0.4680
43.0000	1.1292	0.0038	0.3354
44.0000	1.1298	0.0044	0.3911
45.0000	1.1299	0.0053	0.4713
46.0000	1.1275	0.0060	0.5308
47.0000	1.1296	0.0024	0.2101
48.0000	1.1313	0.0040	0.3500
49.0000	1.1314	0.0040	0.3540
