distance	signal	standard deviation	error (%)
0.0000	2.7417	0.0220	0.8012
1.0000	2.7448	0.0204	0.7420
2.0000	2.7388	0.0211	0.7707
3.0000	2.7439	0.0199	0.7248
4.0000	2.7359	0.0220	0.8037
5.0000	2.7355	0.0148	0.5426
6.0000	2.7365	0.0144	0.5266
7.0000	2.7261	0.0259	0.9500
8.0000	2.7422	0.0215	0.7828
9.0000	2.7290	0.0170	0.6240
10.0000	2.7319	0.0212	0.7755
11.0000	2.7407	0.0173	0.6304
12.0000	2.7504	0.0239	0.8691
13.0000	2.7466	0.0243	0.8836
14.0000	2.7417	0.0219	0.7973
15.0000	2.7441	0.0280	1.0193
16.0000	2.7353	0.0242	0.8862
17.0000	2.7354	0.0203	0.7408
18.0000	2.7435	0.0145	0.5277
19.0000	2.7386	0.0325	1.1885
20.0000	2.7392	0.0198	0.7240
21.0000	2.7441	0.0233	0.8494
22.0000	2.7348	0.0181	0.6622
23.0000	2.7358	0.0166	0.6058
24.0000	2.7371	0.0190	0.6953
25.0000	2.7410	0.0225	0.8204
26.0000	2.7368	0.0142	0.5191
27.0000	2.7571	0.0181	0.6552
28.0000	2.7389	0.0161	0.5876
29.0000	2.7310	0.0293	1.0722
30.0000	2.7361	0.0268	0.9790
31.0000	2.7292	0.0239	0.8746
32.0000	2.7380	0.0162	0.5930
33.0000	2.7434	0.0259	0.9440
34.0000	2.7460	0.0164	0.5990
35.0000	2.7468	0.0199	0.7252
36.0000	2.7299	0.0152	0.5578
37.0000	2.7353	0.0149	0.5441
38.0000	2.7408	0.0209	0.7622
39.0000	2.7471	0.0246	0.8940
40.0000	2.7435	0.0171	0.6234
41.0000	2.7445	0.0156	0.5682
42.0000	2.7475	0.0187	0.6819
43.0000	2.7384	0.0217	0.7941
44.0000	2.7329	0.0217	0.7937
45.0000	2.7350	0.0205	0.7506
46.0000	2.7366	0.0182	0.6662
47.0000	2.7390	0.0246	0.8979
48.0000	2.7411	0.0250	0.9121
49.0000	2.7363	0.0236	0.8636
