distance	signal	standard deviation	error (%)
0.0000	2.7770	0.0216	0.7783
1.0000	2.7739	0.0236	0.8514
2.0000	2.7740	0.0200	0.7207
3.0000	2.7775	0.0210	0.7572
4.0000	2.7811	0.0215	0.7735
5.0000	2.7840	0.0231	0.8309
6.0000	2.7782	0.0230	0.8273
7.0000	2.7779	0.0230	0.8277
8.0000	2.7728	0.0232	0.8366
9.0000	2.7804	0.0252	0.9065
10.0000	2.7795	0.0198	0.7127
11.0000	2.7753	0.0251	0.9029
12.0000	2.7731	0.0261	0.9415
13.0000	2.7777	0.0223	0.8031
14.0000	2.7756	0.0232	0.8367
15.0000	2.7722	0.0262	0.9465
16.0000	2.7742	0.0241	0.8701
17.0000	2.7807	0.0185	0.6659
18.0000	2.7781	0.0224	0.8062
19.0000	2.7747	0.0209	0.7542
20.0000	2.7807	0.0231	0.8318
21.0000	2.7763	0.0233	0.8404
22.0000	2.7803	0.0299	1.0744
23.0000	2.7785	0.0269	0.9686
24.0000	2.7791	0.0235	0.8457
25.0000	2.7801	0.0253	0.9101
26.0000	2.7733	0.0205	0.7399
27.0000	2.7787	0.0223	0.8011
28.0000	2.7713	0.0185	0.6689
29.0000	2.7772	0.0167	0.6025
30.0000	2.7756	0.0199	0.7173
31.0000	2.7748	0.0231	0.8307
32.0000	2.7781	0.0238	0.8552
33.0000	2.7746	0.0242	0.8710
34.0000	2.7781	0.0215	0.7725
35.0000	2.7728	0.0231	0.8325
36.0000	2.7824	0.0231	0.8316
37.0000	2.7781	0.0218	0.7831
38.0000	2.7803	0.0202	0.7273
39.0000	2.7770	0.0207	0.7460
40.0000	2.7763	0.0220	0.7920
41.0000	2.7797	0.0227	0.8166
42.0000	2.7823	0.0272	0.9765
43.0000	2.7832	0.0225	0.8091
44.0000	2.7810	0.0231	0.8291
45.0000	2.7777	0.0202	0.7270
46.0000	2.7733	0.0195	0.7015
47.0000	2.7698	0.0270	0.9733
48.0000	2.7780	0.0213	0.7671
49.0000	2.7833	0.0192	0.6909
