distance	signal	standard deviation	error (%)
0.0000	1.0008	0.0037	0.3713
1.0000	1.0007	0.0070	0.7024
2.0000	1.0003	0.0049	0.4897
3.0000	1.0005	0.0040	0.4022
4.0000	1.0031	0.0062	0.6164
5.0000	0.9990	0.0061	0.6063
6.0000	1.0005	0.0063	0.6333
7.0000	1.0011	0.0064	0.6356
8.0000	1.0016	0.0059	0.5847
9.0000	1.0002	0.0066	0.6550
10.0000	1.0000	0.0054	0.5404
11.0000	1.0013	0.0057	0.5697
12.0000	1.0016	0.0052	0.5153
13.0000	0.9987	0.0100	1.0046
14.0000	1.0008	0.0063	0.6293
15.0000	1.0021	0.0055	0.5473
16.0000	1.0013	0.0057	0.5658
17.0000	1.0003	0.0042	0.4240
18.0000	1.0008	0.0043	0.4333
19.0000	0.9972	0.0033	0.3262
20.0000	1.0015	0.0049	0.4867
21.0000	0.9995	0.0051	0.5060
22.0000	1.0020	0.0065	0.6474
23.0000	1.0040	0.0052	0.5196
24.0000	1.0013	0.0078	0.7797
25.0000	0.9992	0.0044	0.4443
26.0000	0.9989	0.0071	0.7086
27.0000	1.0023	0.0045	0.4446
28.0000	0.9995	0.0059	0.5888
29.0000	1.0004	0.0066	0.6627
30.0000	1.0005	0.0063	0.6310
31.0000	0.9991	0.0059	0.5893
32.0000	0.9953	0.0043	0.4278
33.0000	1.0015	0.0060	0.6040
34.0000	1.0014	0.0043	0.4285
35.0000	1.0016	0.0075	0.7462
36.0000	0.9996	0.0049	0.4938
37.0000	1.0000	0.0049	0.4922
38.0000	1.0031	0.0043	0.4291
39.0000	1.0009	0.0058	0.5817
40.0000	1.0004	0.0055	0.5529
41.0000	1.0049	0.0054	0.5355
42.0000	1.0024	0.0052	0.5237
43.0000	0.9971	0.0089	0.8884
44.0000	1.0022	0.0061	0.6098
45.0000	0.9991	0.0049	0.4944
46.0000	1.0008	0.0053	0.5250
47.0000	1.0002	0.0065	0.6545
48.0000	1.0029	0.0043	0.4271
49.0000	0.9986	0.0063	0.6265
