distance	signal	standard deviation	error (%)
0.0000	2.7816	0.0145	0.5218
1.0000	2.7889	0.0185	0.6625
2.0000	2.7975	0.0195	0.6956
3.0000	2.7783	0.0112	0.4049
4.0000	2.7815	0.0201	0.7226
5.0000	2.7738	0.0150	0.5410
6.0000	2.7815	0.0187	0.6707
7.0000	2.7794	0.0157	0.5632
8.0000	2.7820	0.0108	0.3881
9.0000	2.7869	0.0203	0.7283
10.0000	2.7843	0.0119	0.4268
11.0000	2.7844	0.0214	0.7692
12.0000	2.7838	0.0296	1.0627
13.0000	2.7864	0.0079	0.2838
14.0000	2.7861	0.0140	0.5017
15.0000	2.7799	0.0260	0.9356
16.0000	2.7846	0.0200	0.7194
17.0000	2.7859	0.0318	1.1401
18.0000	2.7797	0.0163	0.5868
19.0000	2.7751	0.0210	0.7565
20.0000	2.7827	0.0276	0.9905
21.0000	2.7849	0.0102	0.3670
22.0000	2.7897	0.0174	0.6237
23.0000	2.7780	0.0194	0.6967
24.0000	2.7918	0.0284	1.0178
25.0000	2.7878	0.0153	0.5480
26.0000	2.7873	0.0197	0.7063
27.0000	2.7770	0.0152	0.5469
28.0000	2.7678	0.0188	0.6775
29.0000	2.7736	0.0191	0.6873
30.0000	2.7856	0.0152	0.5452
31.0000	2.7843	0.0201	0.7225
32.0000	2.7806	0.0131	0.4722
33.0000	2.7865	0.0096	0.3435
34.0000	2.7793	0.0078	0.2820
35.0000	2.7845	0.0172	0.6178
36.0000	2.7834	0.0238	0.8540
37.0000	2.7802	0.0257	0.9258
38.0000	2.7818	0.0118	0.4244
39.0000	2.7886	0.0109	0.3903
40.0000	2.7806	0.0186	0.6678
41.0000	2.7866	0.0154	0.5543
42.0000	2.7794	0.0168	0.6056
43.0000	2.7820	0.0189	0.6782
44.0000	2.7930	0.0208	0.7461
45.0000	2.7836	0.0179	0.6420
46.0000	2.7803	0.0246	0.8860
47.0000	2.7729	0.0255	0.9198
48.0000	2.7798	0.0154	0.5535
49.0000	2.7767	0.0137	0.4936
