distance	signal	standard deviation	error (%)
0.0000	2.7705	0.0454	1.6379
1.0000	2.7635	0.0443	1.6033
2.0000	2.7542	0.0351	1.2731
3.0000	2.7634	0.0339	1.2259
4.0000	2.7573	0.0436	1.5798
5.0000	2.7645	0.0247	0.8947
6.0000	2.7573	0.0320	1.1606
7.0000	2.7614	0.0361	1.3084
8.0000	2.7558	0.0389	1.4124
9.0000	2.7757	0.0219	0.7883
10.0000	2.7667	0.0312	1.1294
11.0000	2.7608	0.0398	1.4425
12.0000	2.7703	0.0332	1.1975
13.0000	2.7605	0.0440	1.5957
14.0000	2.7492	0.0226	0.8222
15.0000	2.7654	0.0229	0.8298
16.0000	2.7542	0.0356	1.2917
17.0000	2.7716	0.0275	0.9916
18.0000	2.7696	0.0463	1.6707
19.0000	2.7578	0.0387	1.4025
20.0000	2.7566	0.0385	1.3984
21.0000	2.7717	0.0461	1.6619
22.0000	2.7475	0.0354	1.2890
23.0000	2.7521	0.0289	1.0519
24.0000	2.7543	0.0222	0.8069
25.0000	2.7733	0.0265	0.9553
26.0000	2.7772	0.0374	1.3470
27.0000	2.7719	0.0437	1.5755
28.0000	2.7657	0.0224	0.8107
29.0000	2.7572	0.0308	1.1184
30.0000	2.7602	0.0411	1.4893
31.0000	2.7589	0.0302	1.0932
32.0000	2.7616	0.0337	1.2219
33.0000	2.7748	0.0393	1.4167
34.0000	2.7579	0.0338	1.2266
35.0000	2.7622	0.0363	1.3154
36.0000	2.7474	0.0363	1.3199
37.0000	2.7506	0.0241	0.8776
38.0000	2.7689	0.0378	1.3651
39.0000	2.7610	0.0312	1.1290
40.0000	2.7686	0.0353	1.2741
41.0000	2.7578	0.0276	1.0004
42.0000	2.7678	0.0434	1.5676
43.0000	2.7616	0.0415	1.5011
44.0000	2.7512	0.0278	1.0118
45.0000	2.7582	0.0406	1.4719
46.0000	2.7426	0.0315	1.1496
47.0000	2.7573	0.0382	1.3869
48.0000	2.7675	0.0312	1.1257
49.0000	2.7649	0.0433	1.5662
