distance	signal
0.0000	2.6322
1.0000	2.6302
2.0000	2.6307
3.0000	2.6319
4.0000	2.6318
5.0000	2.6312
6.0000	2.6322
7.0000	2.6318
8.0000	2.6329
9.0000	2.6316
10.0000	2.6317
11.0000	2.6310
12.0000	2.6315
13.0000	2.6301
14.0000	2.6301
15.0000	2.6319
16.0000	2.6312
17.0000	2.6314
18.0000	2.6317
19.0000	2.6325
20.0000	2.6309
21.0000	2.6319
22.0000	2.6327
23.0000	2.6319
24.0000	2.6323
25.0000	2.6270
26.0000	2.6320
27.0000	2.6272
28.0000	2.6311
29.0000	2.6276
30.0000	2.6310
31.0000	2.6315
32.0000	2.6323
33.0000	2.6315
34.0000	2.6321
35.0000	2.6258
36.0000	2.6317
37.0000	2.6262
38.0000	2.6313
39.0000	2.6312
40.0000	2.6329
41.0000	2.6326
42.0000	2.6314
43.0000	2.6278
44.0000	2.6330
45.0000	2.6272
46.0000	2.6314
47.0000	2.6280
48.0000	2.6323
49.0000	2.6265
50.0000	2.6325
51.0000	2.6275
52.0000	2.6316
53.0000	2.6281
54.0000	2.6328
55.0000	2.6322
56.0000	2.6322
57.0000	2.6279
58.0000	2.6309
59.0000	2.6272
60.0000	2.6290
61.0000	2.6317
62.0000	2.6278
63.0000	2.6321
64.0000	2.6287
65.0000	2.6322
66.0000	2.6297
67.0000	2.6315
68.0000	2.6270
69.0000	2.6312
70.0000	2.6273
71.0000	2.6314
72.0000	2.6271
73.0000	2.6320
74.0000	2.6271
75.0000	2.6299
76.0000	2.6327
77.0000	2.6288
78.0000	2.6307
79.0000	2.6288
80.0000	2.6320
81.0000	2.6296
82.0000	2.6320
83.0000	2.6278
84.0000	2.6307
85.0000	2.6292
86.0000	2.6313
87.0000	2.6280
88.0000	2.6321
89.0000	2.6287
90.0000	2.6317
91.0000	2.6281
92.0000	2.6312
93.0000	2.6287
94.0000	2.6314
95.0000	2.6298
96.0000	2.6326
97.0000	2.6305
98.0000	2.6314
99.0000	2.6290
