distance	signal	standard deviation	error (%)
0.0000	1.5086	0.0127	0.8407
1.0000	1.5121	0.0101	0.6657
2.0000	1.5192	0.0102	0.6720
3.0000	1.5141	0.0090	0.5946
4.0000	1.5155	0.0128	0.8441
5.0000	1.5060	0.0091	0.6049
6.0000	1.5117	0.0121	0.8019
7.0000	1.5184	0.0142	0.9336
8.0000	1.5097	0.0086	0.5670
9.0000	1.5147	0.0147	0.9703
10.0000	1.5044	0.0095	0.6338
11.0000	1.5090	0.0126	0.8358
12.0000	1.5089	0.0102	0.6741
13.0000	1.5173	0.0074	0.4901
14.0000	1.5135	0.0067	0.4423
15.0000	1.5129	0.0096	0.6320
16.0000	1.5123	0.0106	0.7018
17.0000	1.5159	0.0107	0.7079
18.0000	1.5131	0.0074	0.4870
19.0000	1.5115	0.0128	0.8494
20.0000	1.5112	0.0091	0.6052
21.0000	1.5079	0.0100	0.6628
22.0000	1.5153	0.0165	1.0865
23.0000	1.5124	0.0135	0.8937
24.0000	1.5104	0.0073	0.4848
25.0000	1.5073	0.0151	1.0003
26.0000	1.5128	0.0110	0.7251
27.0000	1.5095	0.0062	0.4136
28.0000	1.5050	0.0128	0.8490
29.0000	1.5137	0.0101	0.6693
30.0000	1.5062	0.0084	0.5578
31.0000	1.5088	0.0075	0.4961
32.0000	1.5136	0.0121	0.7994
33.0000	1.5102	0.0149	0.9879
34.0000	1.5131	0.0136	0.8995
35.0000	1.5155	0.0123	0.8133
36.0000	1.5116	0.0138	0.9106
37.0000	1.5108	0.0092	0.6099
38.0000	1.5137	0.0113	0.7464
39.0000	1.5144	0.0092	0.6100
40.0000	1.5100	0.0122	0.8082
41.0000	1.5113	0.0099	0.6563
42.0000	1.5134	0.0118	0.7786
43.0000	1.5104	0.0103	0.6792
44.0000	1.5072	0.0145	0.9613
45.0000	1.5134	0.0115	0.7593
46.0000	1.5135	0.0156	1.0278
47.0000	1.5125	0.0090	0.5934
48.0000	1.5148	0.0113	0.7437
49.0000	1.5109	0.0104	0.6855
50.0000	1.5139	0.0087	0.5748
51.0000	1.5153	0.0101	0.6671
52.0000	1.5081	0.0130	0.8618
53.0000	1.5083	0.0086	0.5714
54.0000	1.5115	0.0082	0.5442
55.0000	1.5125	0.0118	0.7811
56.0000	1.5124	0.0129	0.8542
57.0000	1.5063	0.0093	0.6186
58.0000	1.5150	0.0193	1.2738
59.0000	1.5144	0.0050	0.3310
60.0000	1.5145	0.0120	0.7948
61.0000	1.5141	0.0109	0.7177
62.0000	1.5074	0.0112	0.7461
63.0000	1.5122	0.0140	0.9229
64.0000	1.5150	0.0095	0.6263
65.0000	1.5091	0.0098	0.6492
66.0000	1.5131	0.0092	0.6076
67.0000	1.5107	0.0109	0.7244
68.0000	1.5108	0.0076	0.5004
69.0000	1.5129	0.0118	0.7776
70.0000	1.5115	0.0136	0.8975
71.0000	1.5040	0.0091	0.6067
72.0000	1.5138	0.0072	0.4724
73.0000	1.5097	0.0149	0.9898
74.0000	1.5069	0.0119	0.7888
75.0000	1.5075	0.0113	0.7486
76.0000	1.5109	0.0117	0.7747
77.0000	1.5138	0.0113	0.7463
78.0000	1.5170	0.0108	0.7099
79.0000	1.5119	0.0107	0.7053
80.0000	1.5175	0.0081	0.5325
81.0000	1.5063	0.0127	0.8415
82.0000	1.5118	0.0151	0.9992
83.0000	1.5092	0.0108	0.7169
84.0000	1.5090	0.0132	0.8720
85.0000	1.5126	0.0144	0.9515
86.0000	1.5114	0.0143	0.9444
87.0000	1.5066	0.0073	0.4850
88.0000	1.5106	0.0111	0.7345
89.0000	1.5064	0.0065	0.4310
90.0000	1.5094	0.0069	0.4602
91.0000	1.5090	0.0091	0.6025
92.0000	1.5092	0.0093	0.6162
93.0000	1.5078	0.0103	0.6863
94.0000	1.5061	0.0099	0.6584
95.0000	1.5091	0.0098	0.6493
96.0000	1.5145	0.0098	0.6484
97.0000	1.5139	0.0125	0.8224
98.0000	1.5100	0.0120	0.7920
99.0000	1.5143	0.0096	0.6324
