distance	signal
0.0000	1.0901
1.0000	1.0927
2.0000	1.0942
3.0000	1.0932
4.0000	1.0934
5.0000	1.0921
6.0000	1.0898
7.0000	1.0901
8.0000	1.0873
9.0000	1.0934
10.0000	1.0924
11.0000	1.0926
12.0000	1.0898
13.0000	1.0892
14.0000	1.0936
15.0000	1.0891
16.0000	1.0921
17.0000	1.0921
18.0000	1.0873
19.0000	1.0919
20.0000	1.0910
21.0000	1.0926
22.0000	1.0909
23.0000	1.0889
24.0000	1.0945
25.0000	1.0907
26.0000	1.0911
27.0000	1.0923
28.0000	1.0904
29.0000	1.0900
30.0000	1.0915
31.0000	1.0913
32.0000	1.0888
33.0000	1.0912
34.0000	1.0922
35.0000	1.0900
36.0000	1.0917
37.0000	1.0905
38.0000	1.0890
39.0000	1.0930
40.0000	1.0924
41.0000	1.0908
42.0000	1.0931
43.0000	1.0916
44.0000	1.0882
45.0000	1.0898
46.0000	1.0883
47.0000	1.0907
48.0000	1.0899
49.0000	1.0912
50.0000	1.0918
51.0000	1.0912
52.0000	1.0940
53.0000	1.0903
54.0000	1.0899
55.0000	1.0915
56.0000	1.0920
57.0000	1.0907
58.0000	1.0919
59.0000	1.0935
60.0000	1.0893
61.0000	1.0923
62.0000	1.0873
63.0000	1.0920
64.0000	1.0941
65.0000	1.0921
66.0000	1.0927
67.0000	1.0933
68.0000	1.0881
69.0000	1.0922
70.0000	1.0939
71.0000	1.0921
72.0000	1.0923
73.0000	1.0921
74.0000	1.0892
75.0000	1.0926
76.0000	1.0953
77.0000	1.0916
78.0000	1.0917
79.0000	1.0909
80.0000	1.0901
81.0000	1.0924
82.0000	1.0919
83.0000	1.0920
84.0000	1.0919
85.0000	1.0873
86.0000	1.0910
87.0000	1.0915
88.0000	1.0935
89.0000	1.0897
90.0000	1.0922
91.0000	1.0907
92.0000	1.0910
93.0000	1.0941
94.0000	1.0944
