distance	signal	standard deviation	error (%)
0.0000	2.7807	0.0155	0.5564
1.0000	2.7979	0.0244	0.8734
2.0000	2.7715	0.0154	0.5547
3.0000	2.7730	0.0192	0.6928
4.0000	2.7632	0.0268	0.9681
5.0000	2.7786	0.0234	0.8415
6.0000	2.7794	0.0150	0.5396
7.0000	2.7718	0.0218	0.7858
8.0000	2.7879	0.0236	0.8455
9.0000	2.7779	0.0196	0.7041
10.0000	2.7748	0.0215	0.7755
11.0000	2.7842	0.0125	0.4489
12.0000	2.7739	0.0184	0.6621
13.0000	2.7733	0.0193	0.6952
14.0000	2.7826	0.0313	1.1248
15.0000	2.7841	0.0222	0.7981
16.0000	2.7752	0.0221	0.7973
17.0000	2.7809	0.0208	0.7490
18.0000	2.7706	0.0136	0.4923
19.0000	2.7818	0.0159	0.5700
20.0000	2.7746	0.0226	0.8144
21.0000	2.7784	0.0144	0.5183
22.0000	2.7712	0.0169	0.6111
23.0000	2.7763	0.0203	0.7305
24.0000	2.7749	0.0261	0.9412
25.0000	2.7837	0.0157	0.5641
26.0000	2.7721	0.0196	0.7067
27.0000	2.7780	0.0194	0.6973
28.0000	2.7865	0.0150	0.5389
29.0000	2.7739	0.0174	0.6256
30.0000	2.7773	0.0230	0.8271
31.0000	2.7915	0.0171	0.6109
32.0000	2.7814	0.0159	0.5707
33.0000	2.7771	0.0128	0.4623
34.0000	2.7715	0.0187	0.6760
35.0000	2.7866	0.0307	1.1000
36.0000	2.7634	0.0255	0.9232
37.0000	2.7741	0.0248	0.8947
38.0000	2.7793	0.0195	0.7016
39.0000	2.7838	0.0248	0.8924
40.0000	2.7881	0.0163	0.5852
41.0000	2.7697	0.0201	0.7258
42.0000	2.7784	0.0111	0.3995
43.0000	2.7739	0.0233	0.8414
44.0000	2.7719	0.0142	0.5125
45.0000	2.7803	0.0244	0.8780
46.0000	2.7829	0.0167	0.5986
47.0000	2.7847	0.0127	0.4545
48.0000	2.7748	0.0252	0.9068
49.0000	2.7771	0.0204	0.7339
