distance	signal	standard deviation	error (%)
0.0000	1.0022	0.0066	0.6620
1.0000	1.0018	0.0032	0.3223
2.0000	0.9992	0.0067	0.6713
3.0000	0.9986	0.0046	0.4572
4.0000	0.9976	0.0035	0.3480
5.0000	0.9994	0.0054	0.5372
6.0000	1.0035	0.0084	0.8411
7.0000	0.9999	0.0085	0.8525
8.0000	1.0032	0.0061	0.6067
9.0000	1.0025	0.0058	0.5808
10.0000	0.9968	0.0064	0.6434
11.0000	1.0019	0.0063	0.6302
12.0000	1.0010	0.0062	0.6211
13.0000	1.0031	0.0056	0.5551
14.0000	1.0031	0.0060	0.6012
15.0000	0.9986	0.0046	0.4653
16.0000	1.0010	0.0051	0.5050
17.0000	1.0011	0.0035	0.3544
18.0000	0.9998	0.0045	0.4527
19.0000	0.9998	0.0052	0.5213
20.0000	1.0021	0.0063	0.6245
21.0000	1.0020	0.0053	0.5313
22.0000	1.0023	0.0078	0.7771
23.0000	1.0006	0.0047	0.4701
24.0000	1.0015	0.0040	0.4031
25.0000	1.0037	0.0055	0.5453
26.0000	1.0009	0.0027	0.2730
27.0000	1.0009	0.0054	0.5387
28.0000	1.0017	0.0060	0.6038
29.0000	0.9999	0.0081	0.8120
30.0000	1.0024	0.0058	0.5801
31.0000	1.0022	0.0057	0.5704
32.0000	1.0017	0.0053	0.5271
33.0000	1.0021	0.0084	0.8382
34.0000	0.9999	0.0046	0.4588
35.0000	1.0032	0.0042	0.4208
36.0000	0.9994	0.0051	0.5061
37.0000	1.0025	0.0052	0.5170
38.0000	1.0005	0.0056	0.5591
39.0000	0.9991	0.0073	0.7341
40.0000	1.0041	0.0063	0.6237
41.0000	0.9991	0.0070	0.6958
42.0000	1.0036	0.0049	0.4928
43.0000	1.0017	0.0046	0.4555
44.0000	1.0006	0.0074	0.7403
45.0000	1.0004	0.0037	0.3746
46.0000	0.9994	0.0041	0.4144
47.0000	1.0008	0.0070	0.6975
48.0000	0.9987	0.0048	0.4797
49.0000	0.9996	0.0061	0.6061
