distance	signal	standard deviation	error (%)
0.0000	2.7233	0.0277	1.0167
1.0000	2.6788	0.0751	2.8043
2.0000	2.7039	0.0639	2.3614
3.0000	2.6632	0.0310	1.1645
4.0000	2.6758	0.0240	0.8969
5.0000	2.6958	0.0261	0.9698
6.0000	2.7444	0.0775	2.8224
7.0000	2.7430	0.0813	2.9650
8.0000	2.7254	0.0804	2.9508
9.0000	2.6946	0.0857	3.1792
10.0000	2.6856	0.0828	3.0813
11.0000	2.7700	0.0349	1.2594
12.0000	2.7719	0.0319	1.1516
13.0000	2.7506	0.0737	2.6797
14.0000	2.6966	0.0266	0.9870
15.0000	2.6903	0.0405	1.5051
16.0000	2.6682	0.0283	1.0598
17.0000	2.6812	0.0271	1.0115
18.0000	2.7477	0.0651	2.3678
19.0000	2.7067	0.0243	0.8979
20.0000	2.7192	0.0264	0.9710
21.0000	2.7115	0.0751	2.7694
22.0000	2.7200	0.0795	2.9243
23.0000	2.6923	0.0734	2.7272
24.0000	2.6649	0.0543	2.0374
25.0000	2.6646	0.0246	0.9223
26.0000	2.6707	0.0321	1.2011
27.0000	2.7845	0.0315	1.1327
28.0000	2.7210	0.0197	0.7233
29.0000	2.7269	0.0277	1.0161
30.0000	2.7364	0.0369	1.3476
31.0000	2.7352	0.0303	1.1085
32.0000	2.6558	0.0280	1.0550
33.0000	2.6632	0.0302	1.1324
34.0000	2.7708	0.0401	1.4470
35.0000	2.6835	0.0425	1.5856
36.0000	2.6977	0.0342	1.2663
37.0000	2.7095	0.0776	2.8623
38.0000	2.7152	0.0285	1.0491
39.0000	2.7308	0.0249	0.9125
40.0000	2.7032	0.0702	2.5977
41.0000	2.6960	0.0629	2.3342
42.0000	2.6744	0.0590	2.2070
43.0000	2.6594	0.0338	1.2711
44.0000	2.7538	0.0587	2.1308
45.0000	2.7083	0.0895	3.3043
46.0000	2.7181	0.0761	2.7982
47.0000	2.7041	0.0628	2.3230
48.0000	2.6636	0.0671	2.5208
49.0000	2.7542	0.0268	0.9724
