distance	signal
0,0000	2,6508
1,0000	2,6566
2,0000	2,6610
3,0000	2,6515
4,0000	2,6567
5,0000	2,6569
6,0000	2,6598
7,0000	2,6487
8,0000	2,6548
9,0000	2,6509
10,0000	2,6570
11,0000	2,6607
12,0000	2,6541
13,0000	2,6568
14,0000	2,6552
15,0000	2,6624
16,0000	2,6574
17,0000	2,6519
18,0000	2,6548
19,0000	2,6551
20,0000	2,6640
21,0000	2,6625
22,0000	2,6590
23,0000	2,6510
24,0000	2,6626
25,0000	2,6558
26,0000	2,6659
27,0000	2,6519
28,0000	2,6685
29,0000	2,6482
30,0000	2,6682
31,0000	2,6644
32,0000	2,6570
33,0000	2,6661
34,0000	2,6622
35,0000	2,6569
36,0000	2,6540
37,0000	2,6480
38,0000	2,6608
39,0000	2,6522
40,0000	2,6605
41,0000	2,6581
42,0000	2,6635
43,0000	2,6561
44,0000	2,6558
45,0000	2,6663
46,0000	2,6544
47,0000	2,6648
48,0000	2,6640
49,0000	2,6558
50,0000	2,6502
51,0000	2,6487
52,0000	2,6640
53,0000	2,6524
54,0000	2,6621
55,0000	2,6543
56,0000	2,6575
57,0000	2,6657
58,0000	2,6572
59,0000	2,6607
60,0000	2,6597
61,0000	2,6535
62,0000	2,6574
63,0000	2,6592
64,0000	2,6677
65,0000	2,6607
66,0000	2,6619
67,0000	2,6682
68,0000	2,6648
69,0000	2,6639
70,0000	2,6518
71,0000	2,6597
72,0000	2,6516
73,0000	2,6631
74,0000	2,6627
75,0000	2,6572
76,0000	2,6638
77,0000	2,6598
78,0000	2,6647
79,0000	2,6534
80,0000	2,6511
81,0000	2,6528
82,0000	2,6606
83,0000	2,6630
84,0000	2,6552
85,0000	2,6553
86,0000	2,6591
87,0000	2,6568
88,0000	2,6541
89,0000	2,6565
90,0000	2,6599
91,0000	2,6677
92,0000	2,6562
93,0000	2,6586
94,0000	2,6558
95,0000	2,6584
96,0000	2,6586
97,0000	2,6585
98,0000	2,6533
99,0000	2,6627
