distance	signal	standard deviation	error (%)
0.0000	0.9991	0.0053	0.5293
1.0000	0.9994	0.0069	0.6936
2.0000	1.0013	0.0045	0.4483
3.0000	1.0010	0.0069	0.6878
4.0000	1.0007	0.0058	0.5818
5.0000	1.0011	0.0065	0.6462
6.0000	1.0004	0.0055	0.5473
7.0000	1.0007	0.0058	0.5750
8.0000	1.0021	0.0062	0.6211
9.0000	1.0015	0.0062	0.6165
10.0000	1.0002	0.0048	0.4830
11.0000	0.9989	0.0055	0.5494
12.0000	1.0014	0.0057	0.5719
13.0000	1.0006	0.0053	0.5266
14.0000	0.9995	0.0057	0.5716
15.0000	1.0009	0.0054	0.5442
16.0000	1.0012	0.0058	0.5774
17.0000	1.0013	0.0055	0.5478
18.0000	1.0019	0.0058	0.5747
19.0000	1.0001	0.0058	0.5826
20.0000	1.0004	0.0056	0.5577
21.0000	1.0014	0.0045	0.4494
22.0000	1.0014	0.0060	0.5958
23.0000	1.0015	0.0065	0.6445
24.0000	0.9999	0.0051	0.5121
25.0000	1.0001	0.0049	0.4857
26.0000	1.0016	0.0052	0.5165
27.0000	1.0004	0.0065	0.6463
28.0000	1.0000	0.0054	0.5430
29.0000	1.0009	0.0056	0.5625
30.0000	1.0023	0.0056	0.5557
31.0000	1.0005	0.0051	0.5108
32.0000	1.0008	0.0052	0.5172
33.0000	1.0001	0.0060	0.6045
34.0000	1.0010	0.0047	0.4669
35.0000	1.0010	0.0060	0.6012
36.0000	1.0000	0.0055	0.5537
37.0000	1.0005	0.0050	0.4960
38.0000	1.0022	0.0063	0.6286
39.0000	1.0002	0.0052	0.5214
40.0000	1.0016	0.0067	0.6681
41.0000	0.9995	0.0052	0.5157
42.0000	1.0004	0.0057	0.5720
43.0000	1.0002	0.0046	0.4635
44.0000	1.0011	0.0057	0.5680
45.0000	1.0011	0.0054	0.5387
46.0000	1.0008	0.0072	0.7243
47.0000	1.0002	0.0061	0.6070
48.0000	1.0009	0.0057	0.5686
49.0000	1.0019	0.0051	0.5118
