distance	signal
0.0000	2.6269
1.0000	2.6282
2.0000	2.6283
3.0000	2.6268
4.0000	2.6289
5.0000	2.6291
6.0000	2.6286
7.0000	2.6254
8.0000	2.6296
9.0000	2.6288
10.0000	2.6311
11.0000	2.6280
12.0000	2.6263
13.0000	2.6295
14.0000	2.6308
15.0000	2.6301
16.0000	2.6281
17.0000	2.6279
18.0000	2.6295
19.0000	2.6287
20.0000	2.6293
21.0000	2.6276
22.0000	2.6300
23.0000	2.6275
24.0000	2.6288
25.0000	2.6270
26.0000	2.6251
27.0000	2.6283
28.0000	2.6305
29.0000	2.6283
30.0000	2.6283
31.0000	2.6279
32.0000	2.6297
33.0000	2.6294
34.0000	2.6265
35.0000	2.6268
36.0000	2.6306
37.0000	2.6294
38.0000	2.6291
39.0000	2.6275
40.0000	2.6274
41.0000	2.6290
42.0000	2.6278
43.0000	2.6263
44.0000	2.6282
45.0000	2.6276
46.0000	2.6285
47.0000	2.6269
48.0000	2.6264
49.0000	2.6258
50.0000	2.6274
51.0000	2.6286
52.0000	2.6279
53.0000	2.6283
54.0000	2.6291
55.0000	2.6281
56.0000	2.6275
57.0000	2.6284
58.0000	2.6291
59.0000	2.6296
60.0000	2.6291
61.0000	2.6286
62.0000	2.6268
63.0000	2.6299
64.0000	2.6298
65.0000	2.6278
66.0000	2.6272
67.0000	2.6293
68.0000	2.6282
69.0000	2.6297
70.0000	2.6294
71.0000	2.6270
72.0000	2.6275
73.0000	2.6305
74.0000	2.6282
75.0000	2.6280
76.0000	2.6285
77.0000	2.6302
78.0000	2.6282
79.0000	2.6276
80.0000	2.6264
81.0000	2.6282
82.0000	2.6304
83.0000	2.6295
84.0000	2.6266
85.0000	2.6268
86.0000	2.6301
87.0000	2.6287
88.0000	2.6279
89.0000	2.6293
90.0000	2.6289
91.0000	2.6292
92.0000	2.6277
93.0000	2.6288
94.0000	2.6267
95.0000	2.6305
96.0000	2.6265
97.0000	2.6294
98.0000	2.6297
99.0000	2.6282
