distance	signal
0.0000	1.7074
1.0000	1.7118
2.0000	1.7133
3.0000	1.7147
4.0000	1.7093
5.0000	1.5451
6.0000	1.7017
7.0000	1.7083
8.0000	1.7121
9.0000	1.7123
10.0000	1.7045
11.0000	1.7142
12.0000	1.7144
13.0000	1.7126
14.0000	1.7128
15.0000	1.7125
16.0000	1.7026
17.0000	1.7080
18.0000	1.7135
19.0000	1.7010
20.0000	1.7113
21.0000	1.7086
22.0000	1.5390
23.0000	1.5313
24.0000	1.7109
25.0000	1.7093
26.0000	1.7072
27.0000	1.7096
28.0000	1.7047
29.0000	1.7044
30.0000	1.7074
31.0000	1.7081
32.0000	1.7039
33.0000	1.5341
34.0000	1.7014
35.0000	1.7081
36.0000	1.7067
37.0000	1.7140
38.0000	1.7071
39.0000	1.5420
40.0000	1.7119
41.0000	1.7018
42.0000	1.7126
43.0000	1.7070
44.0000	1.7101
45.0000	1.7044
46.0000	1.7200
47.0000	1.7177
48.0000	1.7088
49.0000	1.7051
50.0000	1.5379
51.0000	1.7035
52.0000	1.7060
53.0000	1.7191
54.0000	1.7018
55.0000	1.7098
56.0000	1.5329
57.0000	1.7145
58.0000	1.7087
59.0000	1.7117
60.0000	1.5383
61.0000	1.5391
62.0000	1.7195
63.0000	1.7110
64.0000	1.7127
65.0000	1.7163
66.0000	1.7086
67.0000	1.7109
68.0000	1.7060
69.0000	1.7079
70.0000	1.5383
71.0000	1.5367
72.0000	1.7081
73.0000	1.7083
74.0000	1.7124
75.0000	1.7137
76.0000	1.7045
77.0000	1.7051
78.0000	1.7163
79.0000	1.7151
80.0000	1.5312
81.0000	1.7060
82.0000	1.7179
83.0000	1.7106
84.0000	1.7132
85.0000	1.5446
86.0000	1.7115
87.0000	1.7086
88.0000	1.7077
89.0000	1.7124
90.0000	1.7049
91.0000	1.7157
92.0000	1.7213
93.0000	1.7124
94.0000	1.7163
