distance	signal	standard deviation	error (%)
0.0000	1.4008	0.0102	0.7271
1.0000	1.4012	0.0105	0.7470
2.0000	1.3983	0.0106	0.7558
3.0000	1.3978	0.0133	0.9531
4.0000	1.3955	0.0136	0.9737
5.0000	1.3982	0.0127	0.9068
6.0000	1.3920	0.0132	0.9494
7.0000	1.4016	0.0119	0.8470
8.0000	1.4002	0.0090	0.6424
9.0000	1.3926	0.0122	0.8794
10.0000	1.3944	0.0074	0.5288
11.0000	1.3975	0.0119	0.8506
12.0000	1.4006	0.0071	0.5067
13.0000	1.3990	0.0089	0.6365
14.0000	1.3981	0.0107	0.7633
15.0000	1.3908	0.0079	0.5659
16.0000	1.3959	0.0099	0.7062
17.0000	1.3901	0.0068	0.4886
18.0000	1.4062	0.0118	0.8412
19.0000	1.3914	0.0123	0.8869
20.0000	1.3981	0.0061	0.4371
21.0000	1.3903	0.0113	0.8136
22.0000	1.3966	0.0098	0.7018
23.0000	1.3964	0.0103	0.7395
24.0000	1.3979	0.0100	0.7160
25.0000	1.3964	0.0114	0.8161
26.0000	1.3959	0.0118	0.8481
27.0000	1.4061	0.0092	0.6514
28.0000	1.4014	0.0097	0.6925
29.0000	1.4005	0.0097	0.6902
30.0000	1.3959	0.0112	0.8006
31.0000	1.3968	0.0088	0.6310
32.0000	1.4013	0.0094	0.6712
33.0000	1.3970	0.0073	0.5224
34.0000	1.4000	0.0063	0.4509
35.0000	1.3950	0.0136	0.9719
36.0000	1.3956	0.0131	0.9410
37.0000	1.3955	0.0065	0.4650
38.0000	1.3910	0.0126	0.9037
39.0000	1.3960	0.0109	0.7833
40.0000	1.3896	0.0071	0.5114
41.0000	1.3933	0.0096	0.6909
42.0000	1.3978	0.0100	0.7132
43.0000	1.3942	0.0064	0.4567
44.0000	1.3986	0.0112	0.7978
45.0000	1.3975	0.0114	0.8149
46.0000	1.3914	0.0148	1.0610
47.0000	1.3965	0.0102	0.7295
48.0000	1.3968	0.0094	0.6740
49.0000	1.3992	0.0137	0.9817
50.0000	1.3982	0.0125	0.8908
51.0000	1.3910	0.0085	0.6112
52.0000	1.3956	0.0082	0.5881
53.0000	1.3921	0.0098	0.7046
54.0000	1.3993	0.0087	0.6208
55.0000	1.3918	0.0130	0.9365
56.0000	1.3967	0.0133	0.9543
57.0000	1.4014	0.0074	0.5280
58.0000	1.3990	0.0082	0.5838
59.0000	1.3985	0.0129	0.9208
60.0000	1.3942	0.0044	0.3175
61.0000	1.3983	0.0084	0.5997
62.0000	1.4065	0.0099	0.7050
63.0000	1.3946	0.0116	0.8334
64.0000	1.4023	0.0085	0.6034
65.0000	1.3938	0.0114	0.8168
66.0000	1.4009	0.0112	0.8027
67.0000	1.3947	0.0134	0.9576
68.0000	1.3917	0.0169	1.2127
69.0000	1.3986	0.0071	0.5079
70.0000	1.3923	0.0077	0.5527
71.0000	1.3973	0.0098	0.7024
72.0000	1.3930	0.0143	1.0253
73.0000	1.3937	0.0136	0.9782
74.0000	1.3985	0.0140	0.9996
75.0000	1.3944	0.0121	0.8704
76.0000	1.4005	0.0095	0.6777
77.0000	1.3962	0.0086	0.6174
78.0000	1.3966	0.0083	0.5976
79.0000	1.3961	0.0103	0.7376
80.0000	1.3962	0.0070	0.4983
81.0000	1.3976	0.0079	0.5665
82.0000	1.3997	0.0094	0.6701
83.0000	1.4016	0.0090	0.6415
84.0000	1.4020	0.0104	0.7441
85.0000	1.3987	0.0108	0.7695
86.0000	1.4007	0.0048	0.3446
87.0000	1.4007	0.0082	0.5856
88.0000	1.3922	0.0075	0.5354
89.0000	1.4014	0.0130	0.9295
90.0000	1.3975	0.0123	0.8775
91.0000	1.4008	0.0075	0.5322
92.0000	1.3934	0.0139	0.9987
93.0000	1.3929	0.0109	0.7860
94.0000	1.4000	0.0077	0.5502
95.0000	1.3945	0.0070	0.5033
96.0000	1.3962	0.0112	0.8017
97.0000	1.3994	0.0134	0.9592
98.0000	1.3967	0.0139	0.9944
99.0000	1.3961	0.0082	0.5843
