distance	signal	standard deviation	error (%)
0.0000	2.7019	0.0287	1.0607
1.0000	2.8070	0.0263	0.9355
2.0000	2.7302	0.0262	0.9580
3.0000	2.8483	0.0225	0.7907
4.0000	2.7720	0.1295	4.6724
5.0000	2.6891	0.0305	1.1344
6.0000	2.6692	0.1716	6.4292
7.0000	2.7109	0.0411	1.5171
8.0000	2.7649	0.1389	5.0231
9.0000	2.6800	0.0327	1.2186
10.0000	2.6452	0.1582	5.9825
11.0000	2.6471	0.1593	6.0185
12.0000	2.7215	0.0282	1.0372
13.0000	2.5630	0.0420	1.6391
14.0000	2.7598	0.0296	1.0737
15.0000	2.7670	0.0422	1.5268
16.0000	2.6056	0.0272	1.0441
17.0000	2.8047	0.0285	1.0169
18.0000	2.6406	0.0311	1.1785
19.0000	2.6505	0.0263	0.9911
20.0000	2.7468	0.0262	0.9536
21.0000	2.5898	0.0282	1.0884
22.0000	2.6025	0.0194	0.7459
23.0000	2.7030	0.0284	1.0512
24.0000	2.5831	0.1045	4.0461
25.0000	2.7632	0.0416	1.5068
26.0000	2.6056	0.0319	1.2228
27.0000	2.7003	0.0293	1.0862
28.0000	2.8017	0.0281	1.0029
29.0000	2.5558	0.0253	0.9898
30.0000	2.6437	0.0297	1.1245
31.0000	2.7778	0.1459	5.2506
32.0000	2.7232	0.1723	6.3282
33.0000	2.6959	0.0179	0.6622
34.0000	2.6146	0.1423	5.4428
35.0000	2.7281	0.0173	0.6343
36.0000	2.7356	0.0366	1.3394
37.0000	2.8043	0.1461	5.2087
38.0000	2.6794	0.0295	1.0993
39.0000	2.7819	0.0375	1.3498
40.0000	2.8096	0.0279	0.9913
41.0000	2.6246	0.0268	1.0216
42.0000	2.7575	0.0432	1.5653
43.0000	2.5944	0.0226	0.8715
44.0000	2.8017	0.0327	1.1682
45.0000	2.6084	0.1374	5.2665
46.0000	2.6437	0.0188	0.7114
47.0000	2.8118	0.1053	3.7449
48.0000	2.6689	0.0278	1.0420
49.0000	2.6904	0.1650	6.1338
