distance	signal	standard deviation	error (%)
0.0000	2.7841	0.0038	0.1370
1.0000	2.7843	0.0043	0.1549
2.0000	2.7835	0.0030	0.1094
3.0000	2.7833	0.0032	0.1138
4.0000	2.7830	0.0054	0.1949
5.0000	2.7820	0.0032	0.1145
6.0000	2.7856	0.0048	0.1712
7.0000	2.7839	0.0043	0.1550
8.0000	2.7836	0.0039	0.1415
9.0000	2.7833	0.0057	0.2062
10.0000	2.7847	0.0056	0.1999
11.0000	2.7825	0.0117	0.4207
12.0000	2.7820	0.0065	0.2341
13.0000	2.7832	0.0116	0.4182
14.0000	2.7831	0.0045	0.1624
15.0000	2.7819	0.0041	0.1484
16.0000	2.7816	0.0099	0.3575
17.0000	2.7841	0.0054	0.1933
18.0000	2.7836	0.0029	0.1046
19.0000	2.7845	0.0035	0.1261
20.0000	2.7840	0.0038	0.1353
21.0000	2.7835	0.0038	0.1381
22.0000	2.7839	0.0030	0.1063
23.0000	2.7834	0.0036	0.1295
24.0000	2.7836	0.0035	0.1269
25.0000	2.7852	0.0038	0.1378
26.0000	2.7815	0.0049	0.1753
27.0000	2.7843	0.0040	0.1432
28.0000	2.7840	0.0035	0.1265
29.0000	2.7810	0.0082	0.2949
30.0000	2.7857	0.0051	0.1830
31.0000	2.7851	0.0032	0.1145
32.0000	2.7845	0.0038	0.1350
33.0000	2.7855	0.0060	0.2163
34.0000	2.7854	0.0053	0.1903
35.0000	2.7831	0.0095	0.3413
36.0000	2.7852	0.0038	0.1352
37.0000	2.7815	0.0083	0.2992
38.0000	2.7814	0.0061	0.2184
39.0000	2.7837	0.0039	0.1393
40.0000	2.7814	0.0105	0.3781
41.0000	2.7867	0.0033	0.1179
42.0000	2.7829	0.0054	0.1957
43.0000	2.7850	0.0073	0.2605
44.0000	2.7832	0.0027	0.0955
45.0000	2.7839	0.0057	0.2045
46.0000	2.7807	0.0084	0.3019
47.0000	2.7828	0.0059	0.2132
48.0000	2.7829	0.0088	0.3157
49.0000	2.7820	0.0061	0.2199
