distance	signal	standard deviation	error (%)
0.0000	2.1399	0.0121	0.5647
1.0000	2.1451	0.0240	1.1197
2.0000	2.1380	0.0189	0.8819
3.0000	2.1248	0.0189	0.8918
4.0000	2.1438	0.0141	0.6588
5.0000	2.1332	0.0162	0.7583
6.0000	2.1398	0.0110	0.5129
7.0000	2.1348	0.0131	0.6149
8.0000	2.1485	0.0221	1.0290
9.0000	2.1403	0.0147	0.6853
10.0000	2.1579	0.0136	0.6323
11.0000	2.1399	0.0223	1.0406
12.0000	2.1378	0.0103	0.4799
13.0000	2.1413	0.0193	0.9006
14.0000	2.1309	0.0211	0.9921
15.0000	2.1363	0.0123	0.5778
16.0000	2.1399	0.0137	0.6394
17.0000	2.1448	0.0170	0.7912
18.0000	2.1425	0.0228	1.0642
19.0000	2.1484	0.0193	0.9005
20.0000	2.1397	0.0187	0.8755
21.0000	2.1510	0.0232	1.0803
22.0000	2.1390	0.0206	0.9632
23.0000	2.1423	0.0179	0.8349
24.0000	2.1415	0.0228	1.0661
25.0000	2.1479	0.0212	0.9888
26.0000	2.1443	0.0154	0.7163
27.0000	2.1522	0.0234	1.0882
28.0000	2.1362	0.0164	0.7680
29.0000	2.1437	0.0172	0.8000
30.0000	2.1349	0.0165	0.7713
31.0000	2.1463	0.0189	0.8811
32.0000	2.1436	0.0195	0.9097
33.0000	2.1392	0.0161	0.7518
34.0000	2.1439	0.0172	0.8025
35.0000	2.1450	0.0186	0.8689
36.0000	2.1475	0.0170	0.7917
37.0000	2.1495	0.0173	0.8066
38.0000	2.1276	0.0280	1.3164
39.0000	2.1457	0.0126	0.5887
40.0000	2.1375	0.0164	0.7692
41.0000	2.1427	0.0243	1.1347
42.0000	2.1352	0.0211	0.9871
43.0000	2.1421	0.0165	0.7701
44.0000	2.1423	0.0194	0.9049
45.0000	2.1398	0.0186	0.8681
46.0000	2.1517	0.0192	0.8941
47.0000	2.1428	0.0202	0.9443
48.0000	2.1478	0.0213	0.9901
49.0000	2.1462	0.0171	0.7989
50.0000	2.1441	0.0184	0.8560
51.0000	2.1446	0.0187	0.8699
52.0000	2.1440	0.0213	0.9953
53.0000	2.1300	0.0113	0.5287
54.0000	2.1464	0.0164	0.7642
55.0000	2.1396	0.0206	0.9648
56.0000	2.1459	0.0151	0.7027
57.0000	2.1379	0.0346	1.6199
58.0000	2.1444	0.0139	0.6479
59.0000	2.1394	0.0136	0.6348
60.0000	2.1507	0.0193	0.8965
61.0000	2.1396	0.0133	0.6220
62.0000	2.1438	0.0144	0.6726
63.0000	2.1444	0.0291	1.3582
64.0000	2.1481	0.0140	0.6507
65.0000	2.1380	0.0050	0.2351
66.0000	2.1522	0.0137	0.6360
67.0000	2.1382	0.0312	1.4590
68.0000	2.1468	0.0172	0.8016
69.0000	2.1477	0.0158	0.7367
70.0000	2.1488	0.0184	0.8541
71.0000	2.1363	0.0152	0.7117
72.0000	2.1323	0.0197	0.9225
73.0000	2.1437	0.0136	0.6346
74.0000	2.1366	0.0117	0.5462
75.0000	2.1351	0.0182	0.8516
76.0000	2.1425	0.0191	0.8915
77.0000	2.1328	0.0135	0.6316
78.0000	2.1537	0.0217	1.0080
79.0000	2.1443	0.0186	0.8680
80.0000	2.1411	0.0116	0.5432
81.0000	2.1464	0.0094	0.4367
82.0000	2.1429	0.0178	0.8284
83.0000	2.1541	0.0221	1.0259
84.0000	2.1337	0.0198	0.9258
85.0000	2.1488	0.0171	0.7970
86.0000	2.1357	0.0180	0.8445
87.0000	2.1490	0.0107	0.4976
88.0000	2.1412	0.0152	0.7083
89.0000	2.1423	0.0146	0.6818
90.0000	2.1385	0.0076	0.3541
91.0000	2.1274	0.0218	1.0227
92.0000	2.1482	0.0183	0.8542
93.0000	2.1408	0.0216	1.0085
94.0000	2.1497	0.0148	0.6877
95.0000	2.1377	0.0131	0.6117
96.0000	2.1618	0.0137	0.6341
97.0000	2.1390	0.0216	1.0109
98.0000	2.1508	0.0172	0.8019
99.0000	2.1333	0.0240	1.1257
