distance	signal	standard deviation	error (%)
0.0000	1.0014	0.0079	0.7930
1.0000	1.0023	0.0063	0.6334
2.0000	0.9983	0.0052	0.5205
3.0000	0.9998	0.0057	0.5737
4.0000	0.9996	0.0046	0.4603
5.0000	0.9995	0.0033	0.3318
6.0000	0.9997	0.0058	0.5851
7.0000	0.9999	0.0062	0.6170
8.0000	1.0027	0.0037	0.3684
9.0000	1.0034	0.0068	0.6772
10.0000	0.9988	0.0069	0.6946
11.0000	1.0007	0.0056	0.5607
12.0000	0.9975	0.0057	0.5719
13.0000	1.0031	0.0070	0.6947
14.0000	1.0028	0.0048	0.4762
15.0000	1.0010	0.0048	0.4784
16.0000	1.0010	0.0073	0.7299
17.0000	1.0011	0.0050	0.4992
18.0000	1.0020	0.0050	0.4977
19.0000	1.0013	0.0063	0.6253
20.0000	1.0039	0.0062	0.6187
21.0000	1.0019	0.0066	0.6624
22.0000	1.0001	0.0075	0.7472
23.0000	0.9994	0.0034	0.3427
24.0000	0.9999	0.0046	0.4631
25.0000	0.9987	0.0056	0.5650
26.0000	1.0007	0.0050	0.4977
27.0000	0.9967	0.0048	0.4795
28.0000	0.9983	0.0064	0.6412
29.0000	0.9995	0.0053	0.5253
30.0000	1.0021	0.0048	0.4838
31.0000	1.0000	0.0071	0.7142
32.0000	0.9999	0.0046	0.4591
33.0000	1.0000	0.0039	0.3929
34.0000	0.9986	0.0042	0.4250
35.0000	0.9993	0.0055	0.5518
36.0000	1.0021	0.0058	0.5754
37.0000	0.9969	0.0059	0.5945
38.0000	0.9994	0.0064	0.6420
39.0000	1.0020	0.0057	0.5713
40.0000	1.0019	0.0061	0.6079
41.0000	1.0007	0.0058	0.5845
42.0000	1.0002	0.0049	0.4897
43.0000	1.0025	0.0056	0.5625
44.0000	1.0018	0.0052	0.5208
45.0000	0.9998	0.0059	0.5909
46.0000	1.0016	0.0072	0.7210
47.0000	1.0011	0.0048	0.4822
48.0000	1.0015	0.0042	0.4225
49.0000	1.0034	0.0076	0.7599
