distance	signal	standard deviation	error (%)
0.0000	2.3540	0.0146	0.6204
1.0000	2.3544	0.0217	0.9215
2.0000	2.3554	0.0272	1.1547
3.0000	2.3634	0.0208	0.8806
4.0000	2.3512	0.0201	0.8536
5.0000	2.3685	0.0246	1.0366
6.0000	2.3537	0.0170	0.7227
7.0000	2.3596	0.0218	0.9233
8.0000	2.3584	0.0140	0.5923
9.0000	2.3543	0.0155	0.6591
10.0000	2.3544	0.0177	0.7521
11.0000	2.3492	0.0293	1.2469
12.0000	2.3546	0.0164	0.6950
13.0000	2.3384	0.0233	0.9947
14.0000	2.3554	0.0272	1.1564
15.0000	2.3618	0.0198	0.8404
16.0000	2.3533	0.0252	1.0694
17.0000	2.3404	0.0276	1.1798
18.0000	2.3612	0.0240	1.0175
19.0000	2.3585	0.0174	0.7374
20.0000	2.3501	0.0270	1.1497
21.0000	2.3486	0.0239	1.0174
22.0000	2.3615	0.0276	1.1692
23.0000	2.3412	0.0222	0.9471
24.0000	2.3518	0.0163	0.6921
25.0000	2.3577	0.0214	0.9079
26.0000	2.3447	0.0162	0.6894
27.0000	2.3556	0.0158	0.6711
28.0000	2.3711	0.0216	0.9125
29.0000	2.3655	0.0171	0.7221
30.0000	2.3450	0.0163	0.6971
31.0000	2.3537	0.0207	0.8810
32.0000	2.3496	0.0246	1.0488
33.0000	2.3474	0.0204	0.8691
34.0000	2.3503	0.0138	0.5855
35.0000	2.3534	0.0223	0.9496
36.0000	2.3436	0.0239	1.0197
37.0000	2.3546	0.0292	1.2417
38.0000	2.3380	0.0176	0.7534
39.0000	2.3509	0.0135	0.5759
40.0000	2.3421	0.0234	1.0005
41.0000	2.3583	0.0278	1.1793
42.0000	2.3586	0.0174	0.7396
43.0000	2.3526	0.0189	0.8045
44.0000	2.3488	0.0271	1.1549
45.0000	2.3617	0.0124	0.5231
46.0000	2.3515	0.0187	0.7970
47.0000	2.3587	0.0237	1.0037
48.0000	2.3559	0.0143	0.6088
49.0000	2.3446	0.0169	0.7207
50.0000	2.3467	0.0197	0.8403
51.0000	2.3523	0.0220	0.9360
52.0000	2.3521	0.0176	0.7482
53.0000	2.3603	0.0246	1.0416
54.0000	2.3649	0.0246	1.0392
55.0000	2.3603	0.0220	0.9313
56.0000	2.3482	0.0192	0.8192
57.0000	2.3469	0.0146	0.6235
58.0000	2.3527	0.0163	0.6948
59.0000	2.3598	0.0323	1.3680
60.0000	2.3588	0.0257	1.0890
61.0000	2.3510	0.0136	0.5770
62.0000	2.3531	0.0301	1.2777
63.0000	2.3534	0.0245	1.0407
64.0000	2.3555	0.0120	0.5084
65.0000	2.3521	0.0208	0.8851
66.0000	2.3660	0.0244	1.0296
67.0000	2.3572	0.0257	1.0919
68.0000	2.3548	0.0252	1.0696
69.0000	2.3601	0.0226	0.9555
70.0000	2.3554	0.0203	0.8612
71.0000	2.3584	0.0287	1.2173
72.0000	2.3373	0.0256	1.0968
73.0000	2.3505	0.0156	0.6643
74.0000	2.3527	0.0154	0.6529
75.0000	2.3546	0.0254	1.0775
76.0000	2.3566	0.0176	0.7471
77.0000	2.3559	0.0219	0.9279
78.0000	2.3617	0.0249	1.0535
79.0000	2.3558	0.0190	0.8056
80.0000	2.3457	0.0247	1.0515
81.0000	2.3467	0.0337	1.4368
82.0000	2.3528	0.0133	0.5652
83.0000	2.3464	0.0139	0.5907
84.0000	2.3519	0.0173	0.7358
85.0000	2.3756	0.0253	1.0650
86.0000	2.3497	0.0208	0.8850
87.0000	2.3617	0.0203	0.8611
88.0000	2.3601	0.0232	0.9839
89.0000	2.3485	0.0160	0.6793
90.0000	2.3395	0.0236	1.0071
91.0000	2.3499	0.0181	0.7684
92.0000	2.3464	0.0230	0.9790
93.0000	2.3646	0.0290	1.2282
94.0000	2.3483	0.0232	0.9883
95.0000	2.3685	0.0136	0.5738
96.0000	2.3489	0.0143	0.6090
97.0000	2.3584	0.0175	0.7425
98.0000	2.3577	0.0216	0.9162
99.0000	2.3589	0.0276	1.1688
