distance	signal	standard deviation	error (%)
0.0000	2.7833	0.0246	0.8849
1.0000	2.7676	0.0241	0.8690
2.0000	2.7728	0.0144	0.5211
3.0000	2.7820	0.0267	0.9597
4.0000	2.7723	0.0182	0.6575
5.0000	2.7830	0.0181	0.6494
6.0000	2.7795	0.0251	0.9028
7.0000	2.7721	0.0227	0.8204
8.0000	2.7806	0.0186	0.6673
9.0000	2.7720	0.0261	0.9403
10.0000	2.7717	0.0169	0.6101
11.0000	2.7671	0.0176	0.6374
12.0000	2.7767	0.0135	0.4857
13.0000	2.7729	0.0285	1.0284
14.0000	2.7782	0.0222	0.8004
15.0000	2.7754	0.0213	0.7663
16.0000	2.7819	0.0185	0.6638
17.0000	2.7765	0.0153	0.5495
18.0000	2.7671	0.0262	0.9474
19.0000	2.7819	0.0253	0.9109
20.0000	2.7704	0.0187	0.6735
21.0000	2.7681	0.0166	0.5999
22.0000	2.7852	0.0212	0.7598
23.0000	2.7714	0.0184	0.6626
24.0000	2.7734	0.0191	0.6869
25.0000	2.7739	0.0245	0.8847
26.0000	2.7842	0.0179	0.6425
27.0000	2.7777	0.0209	0.7526
28.0000	2.7833	0.0222	0.7961
29.0000	2.7728	0.0250	0.9011
30.0000	2.7742	0.0199	0.7165
31.0000	2.7765	0.0208	0.7474
32.0000	2.7773	0.0215	0.7741
33.0000	2.7759	0.0166	0.5967
34.0000	2.7723	0.0255	0.9207
35.0000	2.7767	0.0211	0.7617
36.0000	2.7729	0.0182	0.6561
37.0000	2.7748	0.0240	0.8633
38.0000	2.7741	0.0196	0.7056
39.0000	2.7732	0.0165	0.5945
40.0000	2.7732	0.0183	0.6606
41.0000	2.7781	0.0262	0.9413
42.0000	2.7747	0.0258	0.9312
43.0000	2.7827	0.0259	0.9325
44.0000	2.7806	0.0176	0.6313
45.0000	2.7768	0.0182	0.6568
46.0000	2.7715	0.0254	0.9163
47.0000	2.7800	0.0196	0.7065
48.0000	2.7763	0.0211	0.7598
49.0000	2.7710	0.0174	0.6286
