distance	signal
0.0000	1.0410
1.0000	1.0413
2.0000	1.0437
3.0000	1.0429
4.0000	1.0439
5.0000	1.0466
6.0000	1.0416
7.0000	1.0442
8.0000	1.0438
9.0000	1.0481
10.0000	1.0517
11.0000	1.0441
12.0000	1.0419
13.0000	1.0394
14.0000	1.0441
15.0000	1.0423
16.0000	1.0424
17.0000	1.0467
18.0000	1.0461
19.0000	1.0420
20.0000	1.0447
21.0000	1.0458
22.0000	1.0473
23.0000	1.0458
24.0000	1.0424
25.0000	1.0417
26.0000	1.0426
27.0000	1.0427
28.0000	1.0414
29.0000	1.0423
30.0000	1.0441
31.0000	1.0458
32.0000	1.0405
33.0000	1.0436
34.0000	1.0404
35.0000	1.0416
36.0000	1.0457
37.0000	1.0435
38.0000	1.0465
39.0000	1.0429
40.0000	1.0413
41.0000	1.0473
42.0000	1.0441
43.0000	1.0408
44.0000	1.0421
45.0000	1.0453
46.0000	1.0450
47.0000	1.0452
48.0000	1.0451
49.0000	1.0431
50.0000	1.0470
51.0000	1.0388
52.0000	1.0411
53.0000	1.0440
54.0000	1.0409
55.0000	1.0428
56.0000	1.0452
57.0000	1.0446
58.0000	1.0406
59.0000	1.0411
60.0000	1.0413
61.0000	1.0414
62.0000	1.0415
63.0000	1.0410
64.0000	1.0468
65.0000	1.0473
66.0000	1.0467
67.0000	1.0445
68.0000	1.0401
69.0000	1.0446
70.0000	1.0428
71.0000	1.0460
72.0000	1.0433
73.0000	1.0388
74.0000	1.0413
75.0000	1.0448
76.0000	1.0406
77.0000	1.0444
78.0000	1.0419
79.0000	1.0457
80.0000	1.0452
81.0000	1.0446
82.0000	1.0436
83.0000	1.0462
84.0000	1.0405
85.0000	1.0464
86.0000	1.0416
87.0000	1.0437
88.0000	1.0431
89.0000	1.0417
90.0000	1.0394
91.0000	1.0428
92.0000	1.0453
93.0000	1.0491
94.0000	1.0389
