distance	signal	standard deviation	error (%)
0.0000	0.9986	0.0084	0.8414
1.0000	1.0031	0.0037	0.3690
2.0000	1.0028	0.0085	0.8526
3.0000	0.9989	0.0055	0.5549
4.0000	1.0001	0.0068	0.6822
5.0000	0.9988	0.0050	0.4993
6.0000	1.0020	0.0095	0.9484
7.0000	0.9989	0.0081	0.8127
8.0000	1.0022	0.0046	0.4619
9.0000	0.9989	0.0054	0.5443
10.0000	1.0027	0.0066	0.6617
11.0000	0.9999	0.0108	1.0833
12.0000	1.0032	0.0056	0.5568
13.0000	1.0029	0.0095	0.9461
14.0000	1.0035	0.0065	0.6436
15.0000	0.9996	0.0080	0.8046
16.0000	1.0041	0.0057	0.5666
17.0000	0.9978	0.0042	0.4171
18.0000	1.0021	0.0054	0.5382
19.0000	1.0018	0.0077	0.7724
20.0000	1.0034	0.0048	0.4734
21.0000	1.0007	0.0051	0.5091
22.0000	1.0009	0.0063	0.6244
23.0000	1.0042	0.0069	0.6881
24.0000	1.0012	0.0076	0.7579
25.0000	0.9984	0.0056	0.5621
26.0000	0.9993	0.0039	0.3913
27.0000	1.0024	0.0046	0.4633
28.0000	1.0052	0.0043	0.4308
29.0000	1.0027	0.0030	0.3027
30.0000	1.0016	0.0059	0.5867
31.0000	1.0010	0.0072	0.7170
32.0000	0.9999	0.0098	0.9831
33.0000	0.9960	0.0056	0.5604
34.0000	1.0023	0.0073	0.7331
35.0000	1.0005	0.0048	0.4754
36.0000	1.0006	0.0052	0.5199
37.0000	1.0042	0.0086	0.8558
38.0000	1.0002	0.0061	0.6052
39.0000	0.9995	0.0054	0.5355
40.0000	1.0002	0.0046	0.4631
41.0000	1.0020	0.0055	0.5482
42.0000	0.9984	0.0075	0.7550
43.0000	1.0017	0.0079	0.7876
44.0000	1.0023	0.0054	0.5424
45.0000	1.0023	0.0046	0.4595
46.0000	1.0007	0.0063	0.6261
47.0000	1.0027	0.0070	0.7020
48.0000	1.0040	0.0071	0.7035
49.0000	0.9997	0.0076	0.7559
