distance	signal
0.0000	2.7283
1.0000	2.7479
2.0000	2.7344
3.0000	2.7376
4.0000	2.7401
5.0000	2.7407
6.0000	2.7307
7.0000	2.7306
8.0000	2.7403
9.0000	2.7452
10.0000	2.7350
11.0000	2.7427
12.0000	2.7476
13.0000	2.7390
14.0000	2.7573
15.0000	2.7317
16.0000	2.7430
17.0000	2.7535
18.0000	2.7507
19.0000	2.7390
20.0000	2.7419
21.0000	2.7490
22.0000	2.7412
23.0000	2.7477
24.0000	2.7396
25.0000	2.7323
26.0000	2.7328
27.0000	2.7351
28.0000	2.7439
29.0000	2.7280
30.0000	2.7342
31.0000	2.7485
32.0000	2.7450
33.0000	2.7365
34.0000	2.7414
35.0000	2.7492
36.0000	2.7473
37.0000	2.7370
38.0000	2.7426
39.0000	2.7469
40.0000	2.7411
41.0000	2.7391
42.0000	2.7405
43.0000	2.7343
44.0000	2.7464
45.0000	2.7338
46.0000	2.7481
47.0000	2.7351
48.0000	2.7444
49.0000	2.7527
50.0000	2.7351
51.0000	2.7380
52.0000	2.7480
53.0000	2.7455
54.0000	2.7402
55.0000	2.7407
56.0000	2.7435
57.0000	2.7286
58.0000	2.7446
59.0000	2.7465
60.0000	2.7417
61.0000	2.7379
62.0000	2.7389
63.0000	2.7475
64.0000	2.7367
65.0000	2.7375
66.0000	2.7287
67.0000	2.7471
68.0000	2.7421
69.0000	2.7269
70.0000	2.7524
71.0000	2.7430
72.0000	2.7384
73.0000	2.7354
74.0000	2.7397
75.0000	2.7339
76.0000	2.7402
77.0000	2.7356
78.0000	2.7294
79.0000	2.7391
80.0000	2.7273
81.0000	2.7522
82.0000	2.7327
83.0000	2.7333
84.0000	2.7395
85.0000	2.7284
86.0000	2.7347
87.0000	2.7288
88.0000	2.7355
89.0000	2.7437
90.0000	2.7364
91.0000	2.7443
92.0000	2.7415
93.0000	2.7382
94.0000	2.7469
95.0000	2.7340
96.0000	2.7409
97.0000	2.7321
98.0000	2.7227
99.0000	2.7427
