distance	signal	standard deviation	error (%)
0.0000	1.1336	0.0058	0.5110
1.0000	1.1340	0.0052	0.4588
2.0000	1.1349	0.0031	0.2772
3.0000	1.1375	0.0049	0.4338
4.0000	1.1333	0.0045	0.3928
5.0000	1.1347	0.0031	0.2763
6.0000	1.1324	0.0042	0.3715
7.0000	1.1357	0.0045	0.3985
8.0000	1.1327	0.0047	0.4111
9.0000	1.1360	0.0058	0.5096
10.0000	1.1336	0.0045	0.4009
11.0000	1.1335	0.0035	0.3072
12.0000	1.1347	0.0036	0.3188
13.0000	1.1313	0.0066	0.5792
14.0000	1.1364	0.0025	0.2166
15.0000	1.1332	0.0041	0.3584
16.0000	1.1327	0.0044	0.3848
17.0000	1.1384	0.0052	0.4599
18.0000	1.1341	0.0052	0.4544
19.0000	1.1357	0.0037	0.3256
20.0000	1.1326	0.0056	0.4948
21.0000	1.1330	0.0022	0.1941
22.0000	1.1350	0.0025	0.2161
23.0000	1.1360	0.0053	0.4655
24.0000	1.1326	0.0055	0.4816
25.0000	1.1342	0.0040	0.3506
26.0000	1.1350	0.0040	0.3502
27.0000	1.1331	0.0051	0.4503
28.0000	1.1329	0.0043	0.3795
29.0000	1.1315	0.0049	0.4337
30.0000	1.1330	0.0045	0.3968
31.0000	1.1337	0.0039	0.3416
32.0000	1.1372	0.0050	0.4427
33.0000	1.1344	0.0036	0.3188
34.0000	1.1326	0.0041	0.3649
35.0000	1.1354	0.0062	0.5452
36.0000	1.1340	0.0041	0.3630
37.0000	1.1360	0.0045	0.3962
38.0000	1.1345	0.0049	0.4286
39.0000	1.1344	0.0049	0.4287
40.0000	1.1352	0.0016	0.1433
41.0000	1.1332	0.0039	0.3482
42.0000	1.1336	0.0050	0.4449
43.0000	1.1334	0.0028	0.2509
44.0000	1.1356	0.0053	0.4675
45.0000	1.1329	0.0051	0.4536
46.0000	1.1348	0.0043	0.3816
47.0000	1.1323	0.0056	0.4948
48.0000	1.1333	0.0040	0.3572
49.0000	1.1325	0.0032	0.2853
