distance	signal	standard deviation	error (%)
0.0000	2.7862	0.0193	0.6910
1.0000	2.7886	0.0237	0.8500
2.0000	2.7805	0.0198	0.7136
3.0000	2.7766	0.0108	0.3896
4.0000	2.7852	0.0157	0.5654
5.0000	2.7821	0.0171	0.6135
6.0000	2.7724	0.0198	0.7138
7.0000	2.7811	0.0137	0.4932
8.0000	2.7833	0.0169	0.6073
9.0000	2.7775	0.0183	0.6587
10.0000	2.7814	0.0225	0.8103
11.0000	2.7834	0.0175	0.6286
12.0000	2.7816	0.0195	0.7015
13.0000	2.7839	0.0162	0.5822
14.0000	2.7794	0.0212	0.7633
15.0000	2.7819	0.0140	0.5021
16.0000	2.7799	0.0206	0.7414
17.0000	2.7853	0.0179	0.6444
18.0000	2.7819	0.0191	0.6870
19.0000	2.7895	0.0291	1.0418
20.0000	2.7918	0.0192	0.6877
21.0000	2.7808	0.0249	0.8948
22.0000	2.7829	0.0202	0.7276
23.0000	2.7735	0.0158	0.5687
24.0000	2.7738	0.0231	0.8322
25.0000	2.7901	0.0203	0.7290
26.0000	2.7907	0.0182	0.6512
27.0000	2.7938	0.0203	0.7258
28.0000	2.7858	0.0322	1.1576
29.0000	2.7775	0.0211	0.7584
30.0000	2.7694	0.0154	0.5563
31.0000	2.7868	0.0147	0.5264
32.0000	2.7836	0.0251	0.9003
33.0000	2.7936	0.0277	0.9928
34.0000	2.7715	0.0209	0.7527
35.0000	2.7855	0.0098	0.3507
36.0000	2.7797	0.0238	0.8567
37.0000	2.7867	0.0129	0.4630
38.0000	2.7959	0.0153	0.5465
39.0000	2.7854	0.0165	0.5926
40.0000	2.7879	0.0100	0.3596
41.0000	2.7873	0.0187	0.6715
42.0000	2.7759	0.0172	0.6186
43.0000	2.7809	0.0189	0.6795
44.0000	2.7788	0.0219	0.7884
45.0000	2.7864	0.0256	0.9188
46.0000	2.7887	0.0139	0.4994
47.0000	2.7736	0.0155	0.5601
48.0000	2.7795	0.0262	0.9442
49.0000	2.7737	0.0236	0.8492
50.0000	2.7777	0.0234	0.8414
51.0000	2.7842	0.0249	0.8934
52.0000	2.7935	0.0151	0.5404
53.0000	2.7779	0.0143	0.5156
54.0000	2.7796	0.0151	0.5450
55.0000	2.7926	0.0171	0.6134
56.0000	2.7769	0.0151	0.5447
57.0000	2.7800	0.0252	0.9077
58.0000	2.7772	0.0273	0.9843
59.0000	2.7678	0.0113	0.4084
60.0000	2.7814	0.0221	0.7959
61.0000	2.7787	0.0258	0.9272
62.0000	2.7819	0.0156	0.5606
63.0000	2.7855	0.0158	0.5676
64.0000	2.7873	0.0307	1.1012
65.0000	2.7800	0.0208	0.7488
66.0000	2.7732	0.0122	0.4385
67.0000	2.7788	0.0224	0.8069
68.0000	2.7819	0.0199	0.7138
69.0000	2.7809	0.0179	0.6425
70.0000	2.7809	0.0131	0.4718
71.0000	2.7727	0.0178	0.6426
72.0000	2.7934	0.0300	1.0739
73.0000	2.7717	0.0185	0.6661
74.0000	2.7898	0.0165	0.5908
75.0000	2.7787	0.0223	0.8018
76.0000	2.7821	0.0239	0.8602
77.0000	2.7738	0.0149	0.5361
78.0000	2.7749	0.0281	1.0114
79.0000	2.7763	0.0140	0.5046
80.0000	2.7882	0.0240	0.8594
81.0000	2.7768	0.0183	0.6590
82.0000	2.7791	0.0195	0.7019
83.0000	2.7920	0.0181	0.6485
84.0000	2.7841	0.0208	0.7457
85.0000	2.7809	0.0210	0.7543
86.0000	2.7820	0.0197	0.7065
87.0000	2.7771	0.0240	0.8639
88.0000	2.7817	0.0196	0.7054
89.0000	2.7863	0.0247	0.8881
90.0000	2.7874	0.0245	0.8807
91.0000	2.7813	0.0209	0.7521
92.0000	2.7886	0.0322	1.1555
93.0000	2.7843	0.0185	0.6627
94.0000	2.8019	0.0202	0.7212
95.0000	2.7847	0.0229	0.8217
96.0000	2.7722	0.0146	0.5278
97.0000	2.7789	0.0177	0.6361
98.0000	2.7777	0.0136	0.4885
99.0000	2.7837	0.0216	0.7751
