distance	signal	standard deviation	error (%)
0.0000	2.3401	0.0096	0.4085
1.0000	2.3293	0.0342	1.4704
2.0000	2.3276	0.0243	1.0424
3.0000	2.3406	0.0229	0.9798
4.0000	2.3368	0.0162	0.6941
5.0000	2.3142	0.0165	0.7109
6.0000	2.3200	0.0200	0.8610
7.0000	2.3341	0.0127	0.5459
8.0000	2.3249	0.0190	0.8158
9.0000	2.3176	0.0277	1.1963
10.0000	2.3222	0.0116	0.4999
11.0000	2.3025	0.0289	1.2564
12.0000	2.3283	0.0177	0.7599
13.0000	2.3187	0.0183	0.7875
14.0000	2.3277	0.0163	0.7017
15.0000	2.3453	0.0259	1.1022
16.0000	2.3142	0.0210	0.9081
17.0000	2.3326	0.0203	0.8704
18.0000	2.3118	0.0105	0.4547
19.0000	2.3309	0.0162	0.6967
20.0000	2.3267	0.0164	0.7038
21.0000	2.3056	0.0156	0.6761
22.0000	2.3329	0.0207	0.8888
23.0000	2.3281	0.0215	0.9217
24.0000	2.3084	0.0176	0.7637
25.0000	2.3205	0.0230	0.9920
26.0000	2.3466	0.0210	0.8947
27.0000	2.3368	0.0336	1.4395
28.0000	2.3242	0.0134	0.5783
29.0000	2.3362	0.0217	0.9289
30.0000	2.3197	0.0254	1.0962
31.0000	2.3188	0.0197	0.8486
32.0000	2.3443	0.0164	0.6986
33.0000	2.3352	0.0195	0.8354
34.0000	2.3266	0.0130	0.5605
35.0000	2.3157	0.0199	0.8599
36.0000	2.3348	0.0250	1.0725
37.0000	2.3330	0.0178	0.7648
38.0000	2.3067	0.0133	0.5753
39.0000	2.3274	0.0270	1.1617
40.0000	2.3279	0.0257	1.1020
41.0000	2.3414	0.0211	0.9029
42.0000	2.3233	0.0162	0.6987
43.0000	2.3370	0.0199	0.8519
44.0000	2.3090	0.0203	0.8781
45.0000	2.3291	0.0277	1.1882
46.0000	2.3142	0.0290	1.2528
47.0000	2.3100	0.0133	0.5758
48.0000	2.3454	0.0219	0.9317
49.0000	2.3177	0.0128	0.5509
50.0000	2.3386	0.0157	0.6709
51.0000	2.3472	0.0314	1.3389
52.0000	2.3370	0.0192	0.8198
53.0000	2.3105	0.0204	0.8812
54.0000	2.3364	0.0215	0.9218
55.0000	2.3298	0.0150	0.6456
56.0000	2.3194	0.0295	1.2712
57.0000	2.3195	0.0121	0.5212
58.0000	2.3235	0.0156	0.6711
59.0000	2.3198	0.0230	0.9929
60.0000	2.3370	0.0208	0.8879
61.0000	2.3164	0.0135	0.5848
62.0000	2.3332	0.0177	0.7582
63.0000	2.3232	0.0103	0.4444
64.0000	2.3152	0.0167	0.7217
65.0000	2.3379	0.0319	1.3649
66.0000	2.3120	0.0145	0.6268
67.0000	2.3279	0.0199	0.8558
68.0000	2.3315	0.0280	1.2031
69.0000	2.3393	0.0179	0.7644
70.0000	2.2981	0.0199	0.8666
71.0000	2.3236	0.0312	1.3423
72.0000	2.3188	0.0170	0.7311
73.0000	2.3382	0.0156	0.6685
74.0000	2.3285	0.0195	0.8389
75.0000	2.3088	0.0138	0.5994
76.0000	2.3375	0.0214	0.9150
77.0000	2.3138	0.0322	1.3907
78.0000	2.3103	0.0192	0.8320
79.0000	2.3315	0.0150	0.6417
80.0000	2.3248	0.0233	1.0008
81.0000	2.3257	0.0181	0.7792
82.0000	2.3303	0.0162	0.6960
83.0000	2.3185	0.0220	0.9488
84.0000	2.3302	0.0175	0.7496
85.0000	2.3114	0.0214	0.9271
86.0000	2.3462	0.0197	0.8407
87.0000	2.3513	0.0170	0.7223
88.0000	2.3218	0.0121	0.5191
89.0000	2.3408	0.0096	0.4122
90.0000	2.3386	0.0150	0.6434
91.0000	2.3137	0.0150	0.6499
92.0000	2.3320	0.0240	1.0281
93.0000	2.3237	0.0149	0.6431
94.0000	2.3465	0.0163	0.6956
95.0000	2.3372	0.0230	0.9834
96.0000	2.3185	0.0147	0.6345
97.0000	2.3308	0.0265	1.1360
98.0000	2.3164	0.0136	0.5857
99.0000	2.3279	0.0134	0.5767
