distance	signal	standard deviation	error (%)
0.0000	1.0035	0.3768	37.5526
1.0000	1.1969	0.3319	27.7271
2.0000	1.0213	0.4118	40.3279
3.0000	0.9253	0.3586	38.7493
4.0000	1.1153	0.4872	43.6878
5.0000	1.2525	0.4980	39.7636
6.0000	1.4624	0.7220	49.3693
7.0000	0.7918	0.1413	17.8451
8.0000	1.0575	0.5010	47.3755
9.0000	1.1410	0.1748	15.3197
10.0000	1.0569	0.3088	29.2129
11.0000	0.9719	0.3464	35.6387
12.0000	1.0522	0.4034	38.3338
13.0000	0.9437	0.2627	27.8378
14.0000	1.0449	0.3216	30.7813
15.0000	0.9665	0.4506	46.6238
16.0000	1.6792	2.1799	129.8184
17.0000	1.1208	0.7797	69.5633
18.0000	1.0652	0.1874	17.5928
19.0000	0.9521	0.4086	42.9123
20.0000	1.1483	0.4275	37.2279
21.0000	1.0730	0.4452	41.4888
22.0000	1.0275	0.3594	34.9792
23.0000	0.8079	0.2671	33.0638
24.0000	0.8778	0.2436	27.7468
25.0000	1.0487	0.4628	44.1353
26.0000	1.1086	0.3683	33.2193
27.0000	1.0729	0.4972	46.3435
28.0000	1.0452	0.2115	20.2354
29.0000	1.2265	0.4183	34.1055
30.0000	1.3461	0.4664	34.6480
31.0000	1.2326	0.5032	40.8248
32.0000	1.1576	0.3882	33.5340
33.0000	1.1531	0.3922	34.0126
34.0000	1.0555	0.4594	43.5191
35.0000	1.1093	0.5428	48.9265
36.0000	0.9023	0.4884	54.1324
37.0000	0.9213	0.3938	42.7434
38.0000	1.0480	0.3605	34.3961
39.0000	1.1082	0.4833	43.6115
40.0000	1.1872	0.3507	29.5384
41.0000	0.9983	0.2976	29.8126
42.0000	1.1271	0.3001	26.6223
43.0000	1.6088	0.6331	39.3522
44.0000	1.1967	0.2871	23.9944
45.0000	1.1690	0.5060	43.2827
46.0000	1.4762	1.6013	108.4743
47.0000	1.0125	0.3434	33.9137
48.0000	1.0187	0.4169	40.9232
49.0000	1.6085	0.8769	54.5153
