distance	signal	standard deviation	error (%)
0.0000	1.4442	0.0074	0.5092
1.0000	1.4467	0.0076	0.5257
2.0000	1.4435	0.0091	0.6284
3.0000	1.4441	0.0086	0.5934
4.0000	1.4462	0.0081	0.5600
5.0000	1.4499	0.0085	0.5877
6.0000	1.4449	0.0071	0.4932
7.0000	1.4433	0.0081	0.5621
8.0000	1.4472	0.0134	0.9284
9.0000	1.4467	0.0112	0.7727
10.0000	1.4418	0.0093	0.6439
11.0000	1.4386	0.0048	0.3317
12.0000	1.4416	0.0070	0.4849
13.0000	1.4400	0.0041	0.2838
14.0000	1.4453	0.0052	0.3567
15.0000	1.4437	0.0114	0.7872
16.0000	1.4474	0.0085	0.5896
17.0000	1.4470	0.0087	0.6025
18.0000	1.4467	0.0101	0.6990
19.0000	1.4479	0.0076	0.5256
20.0000	1.4360	0.0069	0.4804
21.0000	1.4407	0.0091	0.6326
22.0000	1.4430	0.0122	0.8431
23.0000	1.4428	0.0054	0.3748
24.0000	1.4420	0.0091	0.6308
25.0000	1.4460	0.0092	0.6389
26.0000	1.4464	0.0097	0.6734
27.0000	1.4453	0.0100	0.6943
28.0000	1.4460	0.0088	0.6094
29.0000	1.4420	0.0111	0.7669
30.0000	1.4434	0.0089	0.6135
31.0000	1.4439	0.0115	0.7977
32.0000	1.4376	0.0079	0.5474
33.0000	1.4409	0.0073	0.5051
34.0000	1.4458	0.0099	0.6816
35.0000	1.4485	0.0082	0.5648
36.0000	1.4463	0.0101	0.7013
37.0000	1.4493	0.0144	0.9961
38.0000	1.4465	0.0105	0.7279
39.0000	1.4445	0.0127	0.8791
40.0000	1.4474	0.0099	0.6809
41.0000	1.4403	0.0120	0.8312
42.0000	1.4468	0.0073	0.5030
43.0000	1.4451	0.0079	0.5456
44.0000	1.4459	0.0070	0.4822
45.0000	1.4423	0.0098	0.6766
46.0000	1.4390	0.0146	1.0153
47.0000	1.4415	0.0097	0.6709
48.0000	1.4499	0.0139	0.9583
49.0000	1.4487	0.0066	0.4561
50.0000	1.4371	0.0090	0.6243
51.0000	1.4463	0.0103	0.7120
52.0000	1.4469	0.0099	0.6873
53.0000	1.4404	0.0111	0.7700
54.0000	1.4449	0.0162	1.1233
55.0000	1.4448	0.0090	0.6260
56.0000	1.4465	0.0138	0.9524
57.0000	1.4438	0.0087	0.6033
58.0000	1.4454	0.0120	0.8300
59.0000	1.4499	0.0103	0.7136
60.0000	1.4406	0.0056	0.3889
61.0000	1.4410	0.0106	0.7354
62.0000	1.4420	0.0128	0.8852
63.0000	1.4466	0.0116	0.8009
64.0000	1.4436	0.0073	0.5027
65.0000	1.4419	0.0069	0.4801
66.0000	1.4402	0.0100	0.6926
67.0000	1.4380	0.0080	0.5578
68.0000	1.4449	0.0072	0.5003
69.0000	1.4399	0.0097	0.6737
70.0000	1.4429	0.0108	0.7516
71.0000	1.4422	0.0113	0.7802
72.0000	1.4499	0.0058	0.3980
73.0000	1.4455	0.0082	0.5684
74.0000	1.4422	0.0072	0.5025
75.0000	1.4438	0.0088	0.6098
76.0000	1.4377	0.0051	0.3522
77.0000	1.4425	0.0091	0.6328
78.0000	1.4459	0.0067	0.4668
79.0000	1.4463	0.0096	0.6631
80.0000	1.4406	0.0099	0.6855
81.0000	1.4460	0.0135	0.9318
82.0000	1.4375	0.0097	0.6730
83.0000	1.4422	0.0086	0.5966
84.0000	1.4409	0.0115	0.7955
85.0000	1.4431	0.0107	0.7409
86.0000	1.4506	0.0124	0.8558
87.0000	1.4474	0.0106	0.7327
88.0000	1.4511	0.0095	0.6561
89.0000	1.4422	0.0082	0.5699
90.0000	1.4430	0.0070	0.4839
91.0000	1.4431	0.0101	0.6984
92.0000	1.4458	0.0099	0.6844
93.0000	1.4447	0.0091	0.6268
94.0000	1.4464	0.0104	0.7187
95.0000	1.4443	0.0105	0.7269
96.0000	1.4368	0.0112	0.7768
97.0000	1.4388	0.0085	0.5926
98.0000	1.4427	0.0078	0.5377
99.0000	1.4410	0.0101	0.7015
