distance	signal	standard deviation	error (%)
0.0000	1.8788	0.0240	1.2788
1.0000	1.8702	0.0201	1.0753
2.0000	1.8828	0.0158	0.8405
3.0000	1.8815	0.0176	0.9350
4.0000	1.8788	0.0116	0.6171
5.0000	1.8885	0.0149	0.7900
6.0000	1.8725	0.0117	0.6239
7.0000	1.8880	0.0170	0.8997
8.0000	1.8828	0.0155	0.8242
9.0000	1.8843	0.0086	0.4569
10.0000	1.8860	0.0088	0.4661
11.0000	1.8864	0.0166	0.8807
12.0000	1.8898	0.0124	0.6569
13.0000	1.8808	0.0154	0.8176
14.0000	1.8875	0.0119	0.6329
15.0000	1.8880	0.0143	0.7575
16.0000	1.8928	0.0106	0.5617
17.0000	1.8894	0.0147	0.7755
18.0000	1.8797	0.0118	0.6288
19.0000	1.8909	0.0115	0.6081
20.0000	1.8787	0.0085	0.4512
21.0000	1.8822	0.0140	0.7432
22.0000	1.8730	0.0232	1.2380
23.0000	1.8797	0.0150	0.7980
24.0000	1.8855	0.0142	0.7532
25.0000	1.8804	0.0141	0.7524
26.0000	1.8825	0.0193	1.0227
27.0000	1.8876	0.0158	0.8358
28.0000	1.8792	0.0115	0.6123
29.0000	1.8754	0.0136	0.7263
30.0000	1.8754	0.0161	0.8568
31.0000	1.8809	0.0159	0.8436
32.0000	1.8732	0.0147	0.7823
33.0000	1.8855	0.0154	0.8147
34.0000	1.8865	0.0110	0.5855
35.0000	1.8807	0.0206	1.0950
36.0000	1.8922	0.0172	0.9085
37.0000	1.8841	0.0116	0.6180
38.0000	1.8885	0.0117	0.6170
39.0000	1.8837	0.0101	0.5358
40.0000	1.8891	0.0085	0.4477
41.0000	1.8855	0.0126	0.6668
42.0000	1.8886	0.0109	0.5793
43.0000	1.8874	0.0130	0.6884
44.0000	1.8834	0.0119	0.6322
45.0000	1.8860	0.0106	0.5597
46.0000	1.8839	0.0042	0.2206
47.0000	1.8834	0.0138	0.7305
48.0000	1.8786	0.0192	1.0240
49.0000	1.8836	0.0203	1.0759
50.0000	1.8829	0.0171	0.9095
51.0000	1.8877	0.0065	0.3460
52.0000	1.8790	0.0167	0.8898
53.0000	1.8837	0.0097	0.5143
54.0000	1.8794	0.0130	0.6899
55.0000	1.8797	0.0185	0.9842
56.0000	1.8808	0.0110	0.5842
57.0000	1.8747	0.0131	0.7001
58.0000	1.8760	0.0132	0.7053
59.0000	1.8859	0.0202	1.0694
60.0000	1.8876	0.0116	0.6133
61.0000	1.8877	0.0104	0.5515
62.0000	1.8879	0.0189	1.0035
63.0000	1.8809	0.0138	0.7352
64.0000	1.8866	0.0099	0.5225
65.0000	1.8884	0.0180	0.9538
66.0000	1.8813	0.0140	0.7467
67.0000	1.8840	0.0091	0.4805
68.0000	1.8850	0.0060	0.3163
69.0000	1.8790	0.0155	0.8235
70.0000	1.8772	0.0118	0.6278
71.0000	1.8893	0.0143	0.7545
72.0000	1.8820	0.0125	0.6647
73.0000	1.8807	0.0103	0.5490
74.0000	1.8838	0.0102	0.5428
75.0000	1.8892	0.0181	0.9561
76.0000	1.8807	0.0161	0.8546
77.0000	1.8829	0.0169	0.8963
78.0000	1.8731	0.0115	0.6126
79.0000	1.8779	0.0183	0.9759
80.0000	1.8829	0.0114	0.6062
81.0000	1.8851	0.0169	0.8957
82.0000	1.8873	0.0141	0.7475
83.0000	1.8719	0.0070	0.3758
84.0000	1.8761	0.0126	0.6725
85.0000	1.8775	0.0114	0.6080
86.0000	1.8831	0.0137	0.7286
87.0000	1.8875	0.0122	0.6449
88.0000	1.8806	0.0195	1.0346
89.0000	1.8766	0.0153	0.8140
90.0000	1.8931	0.0199	1.0501
91.0000	1.8789	0.0103	0.5493
92.0000	1.8727	0.0101	0.5386
93.0000	1.8868	0.0103	0.5465
94.0000	1.8873	0.0153	0.8121
95.0000	1.8843	0.0114	0.6061
96.0000	1.8874	0.0161	0.8548
97.0000	1.8831	0.0131	0.6962
98.0000	1.8868	0.0102	0.5396
99.0000	1.8850	0.0220	1.1660
