distance	signal
0.0000	1.3873
1.0000	1.3841
2.0000	1.3885
3.0000	1.3873
4.0000	1.3843
5.0000	1.3869
6.0000	1.3869
7.0000	1.3819
8.0000	1.3845
9.0000	1.3895
10.0000	1.3844
11.0000	1.3897
12.0000	1.3882
13.0000	1.3832
14.0000	1.3931
15.0000	1.3892
16.0000	1.3875
17.0000	1.3855
18.0000	1.3874
19.0000	1.3852
20.0000	1.3863
21.0000	1.3915
22.0000	1.3882
23.0000	1.3889
24.0000	1.3888
25.0000	1.3907
26.0000	1.3846
27.0000	1.3803
28.0000	1.3927
29.0000	1.3887
30.0000	1.3904
31.0000	1.3855
32.0000	1.3803
33.0000	1.3885
34.0000	1.3905
35.0000	1.3816
36.0000	1.3876
37.0000	1.3891
38.0000	1.3854
39.0000	1.3874
40.0000	1.3852
41.0000	1.3896
42.0000	1.3865
43.0000	1.3920
44.0000	1.3847
45.0000	1.3865
46.0000	1.3914
47.0000	1.3880
48.0000	1.3889
49.0000	1.3809
50.0000	1.3807
51.0000	1.3862
52.0000	1.3914
53.0000	1.3855
54.0000	1.3837
55.0000	1.3847
56.0000	1.3880
57.0000	1.3865
58.0000	1.3882
59.0000	1.3928
60.0000	1.3868
61.0000	1.3883
62.0000	1.3808
63.0000	1.3823
64.0000	1.3860
65.0000	1.3858
66.0000	1.3855
67.0000	1.3827
68.0000	1.3842
69.0000	1.3879
70.0000	1.3913
71.0000	1.3866
72.0000	1.3889
73.0000	1.3852
74.0000	1.3874
75.0000	1.3860
76.0000	1.3928
77.0000	1.3872
78.0000	1.3881
79.0000	1.3822
80.0000	1.3880
81.0000	1.3846
82.0000	1.3896
83.0000	1.3860
84.0000	1.3915
85.0000	1.3892
86.0000	1.3844
87.0000	1.3878
88.0000	1.3846
89.0000	1.3849
90.0000	1.3853
91.0000	1.3914
92.0000	1.3859
93.0000	1.3894
94.0000	1.3824
