distance	signal	standard deviation	error (%)
0.0000	2.7849	0.0035	0.1271
1.0000	2.7839	0.0045	0.1630
2.0000	2.7833	0.0055	0.1970
3.0000	2.7831	0.0066	0.2354
4.0000	2.7839	0.0041	0.1481
5.0000	2.7825	0.0073	0.2639
6.0000	2.7831	0.0037	0.1334
7.0000	2.7838	0.0094	0.3393
8.0000	2.7824	0.0061	0.2186
9.0000	2.7844	0.0057	0.2045
10.0000	2.7832	0.0043	0.1532
11.0000	2.7839	0.0030	0.1096
12.0000	2.7823	0.0050	0.1790
13.0000	2.7845	0.0049	0.1776
14.0000	2.7854	0.0040	0.1447
15.0000	2.7848	0.0046	0.1653
16.0000	2.7841	0.0043	0.1538
17.0000	2.7835	0.0043	0.1555
18.0000	2.7830	0.0043	0.1528
19.0000	2.7834	0.0036	0.1289
20.0000	2.7843	0.0042	0.1512
21.0000	2.7845	0.0041	0.1479
22.0000	2.7833	0.0053	0.1919
23.0000	2.7834	0.0044	0.1593
24.0000	2.7845	0.0036	0.1282
25.0000	2.7841	0.0040	0.1436
26.0000	2.7838	0.0036	0.1291
27.0000	2.7833	0.0043	0.1560
28.0000	2.7855	0.0039	0.1409
29.0000	2.7821	0.0085	0.3057
30.0000	2.7832	0.0041	0.1462
31.0000	2.7840	0.0058	0.2092
32.0000	2.7845	0.0036	0.1282
33.0000	2.7837	0.0044	0.1564
34.0000	2.7851	0.0028	0.0995
35.0000	2.7856	0.0044	0.1591
36.0000	2.7847	0.0044	0.1589
37.0000	2.7844	0.0041	0.1469
38.0000	2.7846	0.0037	0.1342
39.0000	2.7852	0.0037	0.1324
40.0000	2.7844	0.0044	0.1563
41.0000	2.7850	0.0065	0.2331
42.0000	2.7843	0.0068	0.2431
43.0000	2.7824	0.0063	0.2270
44.0000	2.7851	0.0040	0.1424
45.0000	2.7841	0.0044	0.1579
46.0000	2.7837	0.0051	0.1818
47.0000	2.7838	0.0081	0.2912
48.0000	2.7851	0.0046	0.1647
49.0000	2.7845	0.0043	0.1551
