distance	signal
0.0000	1.2139
1.0000	1.2087
2.0000	1.2132
3.0000	1.2071
4.0000	1.2101
5.0000	1.2094
6.0000	1.0910
7.0000	1.2069
8.0000	1.2106
9.0000	1.2091
10.0000	1.2099
11.0000	1.2067
12.0000	1.2044
13.0000	1.2105
14.0000	1.2114
15.0000	1.0899
16.0000	1.2105
17.0000	1.2065
18.0000	1.2067
19.0000	1.2110
20.0000	1.0893
21.0000	1.0868
22.0000	1.2093
23.0000	1.2135
24.0000	1.2062
25.0000	1.2065
26.0000	1.2103
27.0000	1.2085
28.0000	1.0879
29.0000	1.2137
30.0000	1.2119
31.0000	1.2116
32.0000	1.2117
33.0000	1.2081
34.0000	1.2106
35.0000	1.2066
36.0000	1.2119
37.0000	1.2094
38.0000	1.2062
39.0000	1.2120
40.0000	1.2106
41.0000	1.2075
42.0000	1.2067
43.0000	1.0879
44.0000	1.2108
45.0000	1.2134
46.0000	1.2057
47.0000	1.2078
48.0000	1.2071
49.0000	1.2102
50.0000	1.2117
51.0000	1.2135
52.0000	1.2090
53.0000	1.2106
54.0000	1.2096
55.0000	1.0862
56.0000	1.2067
57.0000	1.2120
58.0000	1.2072
59.0000	1.2095
60.0000	1.2101
61.0000	1.2114
62.0000	1.2078
63.0000	1.2132
64.0000	1.2124
65.0000	1.2081
66.0000	1.2076
67.0000	1.2100
68.0000	1.0913
69.0000	1.0853
70.0000	1.2117
71.0000	1.2112
72.0000	1.2087
73.0000	1.2109
74.0000	1.0889
75.0000	1.0910
76.0000	1.0887
77.0000	1.2106
78.0000	1.2090
79.0000	1.2060
80.0000	1.2124
81.0000	1.2089
82.0000	1.2086
83.0000	1.2095
84.0000	1.2107
85.0000	1.0883
86.0000	1.2077
87.0000	1.2092
88.0000	1.2068
89.0000	1.2090
90.0000	1.2093
91.0000	1.2108
92.0000	1.2077
93.0000	1.2086
94.0000	1.2121
