distance	signal	standard deviation	error (%)
0.0000	1.0010	0.0063	0.6282
1.0000	1.0016	0.0065	0.6451
2.0000	1.0010	0.0064	0.6442
3.0000	0.9967	0.0069	0.6933
4.0000	1.0032	0.0063	0.6325
5.0000	0.9992	0.0068	0.6786
6.0000	1.0025	0.0086	0.8539
7.0000	1.0002	0.0055	0.5476
8.0000	0.9996	0.0049	0.4904
9.0000	1.0029	0.0061	0.6131
10.0000	1.0001	0.0047	0.4673
11.0000	1.0017	0.0069	0.6906
12.0000	0.9996	0.0068	0.6822
13.0000	0.9999	0.0059	0.5949
14.0000	1.0010	0.0084	0.8440
15.0000	0.9984	0.0054	0.5443
16.0000	0.9997	0.0061	0.6130
17.0000	1.0008	0.0044	0.4416
18.0000	0.9982	0.0078	0.7851
19.0000	1.0013	0.0093	0.9240
20.0000	1.0014	0.0066	0.6552
21.0000	1.0009	0.0084	0.8428
22.0000	1.0034	0.0059	0.5864
23.0000	1.0016	0.0042	0.4186
24.0000	0.9985	0.0067	0.6752
25.0000	1.0032	0.0062	0.6182
26.0000	1.0008	0.0074	0.7376
27.0000	0.9945	0.0047	0.4696
28.0000	1.0030	0.0066	0.6556
29.0000	1.0026	0.0053	0.5326
30.0000	1.0016	0.0059	0.5923
31.0000	0.9992	0.0043	0.4271
32.0000	1.0015	0.0062	0.6212
33.0000	1.0018	0.0082	0.8148
34.0000	1.0012	0.0029	0.2873
35.0000	0.9996	0.0066	0.6579
36.0000	0.9992	0.0080	0.8004
37.0000	1.0020	0.0082	0.8205
38.0000	1.0028	0.0058	0.5829
39.0000	1.0018	0.0043	0.4258
40.0000	0.9986	0.0056	0.5603
41.0000	0.9989	0.0064	0.6452
42.0000	0.9986	0.0054	0.5428
43.0000	1.0014	0.0056	0.5588
44.0000	1.0007	0.0099	0.9868
45.0000	1.0025	0.0068	0.6824
46.0000	1.0014	0.0071	0.7137
47.0000	0.9990	0.0073	0.7292
48.0000	0.9982	0.0070	0.7047
49.0000	0.9994	0.0047	0.4691
