distance	signal	standard deviation	error (%)
0.0000	1.1322	0.0061	0.5354
1.0000	1.1346	0.0056	0.4926
2.0000	1.1321	0.0055	0.4891
3.0000	1.1348	0.0046	0.4048
4.0000	1.1351	0.0062	0.5484
5.0000	1.1328	0.0040	0.3505
6.0000	1.1325	0.0046	0.4072
7.0000	1.1306	0.0042	0.3750
8.0000	1.1330	0.0037	0.3224
9.0000	1.1338	0.0054	0.4767
10.0000	1.1331	0.0041	0.3636
11.0000	1.1339	0.0040	0.3548
12.0000	1.1332	0.0039	0.3450
13.0000	1.1335	0.0064	0.5663
14.0000	1.1352	0.0056	0.4930
15.0000	1.1359	0.0052	0.4551
16.0000	1.1338	0.0055	0.4883
17.0000	1.1334	0.0043	0.3804
18.0000	1.1344	0.0043	0.3830
19.0000	1.1338	0.0039	0.3417
20.0000	1.1350	0.0062	0.5429
21.0000	1.1362	0.0032	0.2803
22.0000	1.1346	0.0056	0.4946
23.0000	1.1335	0.0074	0.6509
24.0000	1.1361	0.0054	0.4733
25.0000	1.1347	0.0060	0.5314
26.0000	1.1291	0.0046	0.4051
27.0000	1.1327	0.0048	0.4258
28.0000	1.1352	0.0047	0.4105
29.0000	1.1307	0.0051	0.4502
30.0000	1.1324	0.0036	0.3188
31.0000	1.1325	0.0027	0.2391
32.0000	1.1308	0.0035	0.3135
33.0000	1.1322	0.0055	0.4881
34.0000	1.1332	0.0052	0.4593
35.0000	1.1323	0.0038	0.3351
36.0000	1.1328	0.0029	0.2521
37.0000	1.1355	0.0057	0.5058
38.0000	1.1331	0.0009	0.0828
39.0000	1.1327	0.0050	0.4421
40.0000	1.1329	0.0055	0.4861
41.0000	1.1316	0.0066	0.5869
42.0000	1.1305	0.0050	0.4404
43.0000	1.1323	0.0057	0.4992
44.0000	1.1336	0.0044	0.3905
45.0000	1.1327	0.0045	0.3989
46.0000	1.1354	0.0050	0.4393
47.0000	1.1341	0.0043	0.3768
48.0000	1.1334	0.0035	0.3052
49.0000	1.1341	0.0036	0.3205
