distance	signal	standard deviation	error (%)
0.0000	0.9976	0.0053	0.5303
1.0000	0.9985	0.0066	0.6616
2.0000	1.0023	0.0073	0.7301
3.0000	1.0023	0.0025	0.2478
4.0000	1.0009	0.0045	0.4454
5.0000	1.0033	0.0052	0.5171
6.0000	1.0039	0.0080	0.8004
7.0000	0.9971	0.0046	0.4605
8.0000	0.9992	0.0087	0.8658
9.0000	1.0020	0.0071	0.7045
10.0000	1.0014	0.0048	0.4786
11.0000	1.0007	0.0076	0.7551
12.0000	1.0026	0.0061	0.6037
13.0000	0.9981	0.0085	0.8467
14.0000	1.0021	0.0072	0.7167
15.0000	0.9981	0.0042	0.4255
16.0000	1.0050	0.0049	0.4847
17.0000	0.9984	0.0074	0.7451
18.0000	1.0004	0.0077	0.7716
19.0000	1.0025	0.0044	0.4361
20.0000	1.0024	0.0068	0.6822
21.0000	1.0019	0.0049	0.4917
22.0000	1.0029	0.0084	0.8407
23.0000	1.0013	0.0076	0.7542
24.0000	1.0044	0.0088	0.8797
25.0000	1.0017	0.0056	0.5621
26.0000	0.9979	0.0045	0.4504
27.0000	0.9997	0.0042	0.4213
28.0000	1.0015	0.0063	0.6270
29.0000	0.9992	0.0067	0.6740
30.0000	0.9999	0.0031	0.3069
31.0000	1.0005	0.0057	0.5651
32.0000	1.0000	0.0062	0.6227
33.0000	1.0020	0.0047	0.4711
34.0000	0.9978	0.0072	0.7207
35.0000	1.0022	0.0056	0.5580
36.0000	1.0001	0.0039	0.3874
37.0000	1.0024	0.0031	0.3103
38.0000	1.0002	0.0059	0.5892
39.0000	1.0014	0.0056	0.5630
40.0000	1.0021	0.0054	0.5364
41.0000	1.0000	0.0054	0.5408
42.0000	1.0007	0.0054	0.5398
43.0000	1.0016	0.0067	0.6644
44.0000	1.0003	0.0084	0.8433
45.0000	1.0039	0.0054	0.5409
46.0000	0.9977	0.0074	0.7453
47.0000	1.0014	0.0051	0.5111
48.0000	1.0046	0.0082	0.8186
49.0000	0.9988	0.0047	0.4664
