distance	signal
0.0000	1.7087
1.0000	1.7096
2.0000	1.7094
3.0000	1.7189
4.0000	1.7180
5.0000	1.7084
6.0000	1.7124
7.0000	1.7168
8.0000	1.7088
9.0000	1.7055
10.0000	1.7061
11.0000	1.7104
12.0000	1.7014
13.0000	1.7023
14.0000	1.7093
15.0000	1.7135
16.0000	1.7069
17.0000	1.7148
18.0000	1.7061
19.0000	1.7038
20.0000	1.7062
21.0000	1.7024
22.0000	1.7128
23.0000	1.7042
24.0000	1.7142
25.0000	1.7121
26.0000	1.7109
27.0000	1.7087
28.0000	1.7091
29.0000	1.7036
30.0000	1.7077
31.0000	1.7047
32.0000	1.7064
33.0000	1.7118
34.0000	1.7069
35.0000	1.7163
36.0000	1.7111
37.0000	1.7055
38.0000	1.7072
39.0000	1.7040
40.0000	1.7063
41.0000	1.7114
42.0000	1.7168
43.0000	1.7096
44.0000	1.7171
45.0000	1.7151
46.0000	1.7134
47.0000	1.7121
48.0000	1.7067
49.0000	1.7029
50.0000	1.7118
51.0000	1.7140
52.0000	1.7012
53.0000	1.7108
54.0000	1.7113
55.0000	1.7136
56.0000	1.7183
57.0000	1.7019
58.0000	1.7034
59.0000	1.7066
60.0000	1.7067
61.0000	1.7105
62.0000	1.7114
63.0000	1.7133
64.0000	1.7068
65.0000	1.7070
66.0000	1.7053
67.0000	1.7123
68.0000	1.7028
69.0000	1.7111
70.0000	1.7067
71.0000	1.7025
72.0000	1.7132
73.0000	1.7179
74.0000	1.7061
75.0000	1.7199
76.0000	1.7013
77.0000	1.7081
78.0000	1.7034
79.0000	1.7116
80.0000	1.7108
81.0000	1.7015
82.0000	1.7091
83.0000	1.7114
84.0000	1.7046
85.0000	1.7143
86.0000	1.7140
87.0000	1.7116
88.0000	1.7107
89.0000	1.7069
90.0000	1.7118
91.0000	1.7111
92.0000	1.7110
93.0000	1.7158
94.0000	1.7152
