distance	signal
0,0000	2,6677
1,0000	2,6610
2,0000	2,6607
3,0000	2,6674
4,0000	2,6611
5,0000	2,6650
6,0000	2,6653
7,0000	2,6658
8,0000	2,6602
9,0000	2,6653
10,0000	2,6625
11,0000	2,6646
12,0000	2,6656
13,0000	2,6633
14,0000	2,6639
15,0000	2,6622
16,0000	2,6643
17,0000	2,6667
18,0000	2,6608
19,0000	2,6607
20,0000	2,6607
21,0000	2,6628
22,0000	2,6646
23,0000	2,6624
24,0000	2,6608
25,0000	2,6641
26,0000	2,6643
27,0000	2,6684
28,0000	2,6703
29,0000	2,6664
30,0000	2,6600
31,0000	2,6648
32,0000	2,6583
33,0000	2,6615
34,0000	2,6671
35,0000	2,6653
36,0000	2,6639
37,0000	2,6640
38,0000	2,6621
39,0000	2,6635
40,0000	2,6636
41,0000	2,6675
42,0000	2,6634
43,0000	2,6699
44,0000	2,6635
45,0000	2,6627
46,0000	2,6708
47,0000	2,6669
48,0000	2,6646
49,0000	2,6644
50,0000	2,6604
51,0000	2,6575
52,0000	2,6653
53,0000	2,6574
54,0000	2,6672
55,0000	2,6674
56,0000	2,6677
57,0000	2,6661
58,0000	2,6589
59,0000	2,6680
60,0000	2,6613
61,0000	2,6607
62,0000	2,6650
63,0000	2,6605
64,0000	2,6638
65,0000	2,6614
66,0000	2,6639
67,0000	2,6681
68,0000	2,6707
69,0000	2,6678
70,0000	2,6664
71,0000	2,6607
72,0000	2,6608
73,0000	2,6595
74,0000	2,6590
75,0000	2,6687
76,0000	2,6558
77,0000	2,6656
78,0000	2,6647
79,0000	2,6696
80,0000	2,6693
81,0000	2,6602
82,0000	2,6615
83,0000	2,6649
84,0000	2,6649
85,0000	2,6736
86,0000	2,6688
87,0000	2,6634
88,0000	2,6684
89,0000	2,6610
90,0000	2,6698
91,0000	2,6657
92,0000	2,6708
93,0000	2,6640
94,0000	2,6701
95,0000	2,6591
96,0000	2,6672
97,0000	2,6673
98,0000	2,6630
99,0000	2,6677
